Time-step	Difference in L
60.0	6.564334158307484E30
90.0	3.8092667797132894E31
135.0	1.2503767938914954E32
202.5	4.306149400567454E32
303.75	1.461704452280662E33
455.625	5.1340037055003137E33
683.4375	1.9028924233333302E34
1025.15625	1.6221815011025374E35
1537.734375	6.123809786644983E35
2306.6015625	1.0312205638717708E36
3459.90234375	1.0710000056949567E36
5189.853515625	1.1834425979444189E36
7784.7802734375	3.199551271384406E36
11677.17041015625	1.3481603667689878E36
17515.755615234375	2.9097871995055543E36
26273.633422851562	4.6308429934426235E36
39410.450134277344	3.455599977650085E36
59115.675201416016	8.927877224092416E36
88673.51280212402	1.9827971246754913E37
133010.26920318604	2.6299556535595036E38
199515.40380477905	1.755036516633452E39
299273.1057071686	1.1627973945527129E39
448909.65856075287	1.5773732179581848E39
673364.4878411293	1.052395919386226E40
1010046.731761694	2.403470126741838E40
1515070.097642541	6.859877308311058E40
2272605.1464638114	5.029417416569646E40
3408907.719695717	3.3022137334134645E40
5113361.579543576	2.2407728426828285E40
7670042.3693153635	1.9144016042630636E40
1.1505063553973045E7	4.879333708800273E40
1.7257595330959566E7	1.3357350647842696E41
2.588639299643935E7	3.0778720711111573E41
