Io X	Io Y
-1.7359046248917386E11	-7.727271562912643E11
-1.2774510288198299E11	-7.79429373768837E11
-8.139523980158678E10	-7.834547863548531E11
-3.450885044391941E10	-7.849544202311003E11
1.2391069090470554E10	-7.843101641292026E11
5.8001173503319725E10	-7.813237360502433E11
1.0314538831368533E11	-7.726721582286731E11
1.4982122054799597E11	-7.620922143566388E11
1.962039901008691E11	-7.498075990267677E11
2.4077923848854135E11	-7.358309941709114E11
2.82694324568724E11	-7.167070290534602E11
3.270781764258051E11	-6.952935170732739E11
3.6826197847187616E11	-6.738333895325482E11
4.0790572619880475E11	-6.457528583418317E11
4.4724132908860455E11	-6.189572743423094E11
4.831169144600396E11	-5.864470361569791E11
5.186989534721586E11	-5.55107313540014E11
5.512380615634775E11	-5.1805035035444653E11
5.807557277272021E11	-4.827724095441263E11
6.108509503025087E11	-4.425275753313929E11
6.360786936427968E11	-4.0033517964629376E11
6.574215683808823E11	-3.589475177846358E11
6.79964747890332E11	-3.153713345045371E11
6.983723805405007E11	-2.6913626156365485E11
7.130810945204806E11	-2.2184751921913794E11
7.243228060124695E11	-1.7390750747796155E11
7.321564151397704E11	-1.2574880437221263E11
7.374469851073893E11	-7.763981047767729E10
7.403663996490385E11	-2.938890461239322E10
7.406986687915457E11	1.924027559430732E10
7.377696577539645E11	6.8166656867206535E10
7.313990884998309E11	1.1693648237734726E11
7.216887332197874E11	1.6520781898888342E11
7.087247464881337E11	2.127966716631915E11
6.925736524703737E11	2.5959760214222665E11
6.732537657617999E11	3.057669362680553E11
6.526075389869019E11	3.518151831171969E11
6.297624305159939E11	3.934298844183724E11
6.025027349275057E11	4.3321946157187146E11
5.709992339040403E11	4.739085734974497E11
5.4170224866419366E11	5.104963277499888E11
5.057829544813444E11	5.452310797905253E11
4.7148370482753735E11	5.793254772253529E11
4.318739045903469E11	6.08471884988967E11
3.934574221874916E11	6.38209844298131E11
3.5049770876952997E11	6.61975151619311E11
3.092220463068157E11	6.859507813685726E11
2.6301925545105984E11	7.051347046951782E11
2.197140191858921E11	7.223104429137622E11
1.71506684403893E11	7.379939616149996E11
1.261585680616638E11	7.475083573449833E11
7.99161582202221E10	7.580852939878002E11
3.0262539183069817E10	7.622660992368682E11
-1.595222718097779E10	7.642825902805012E11
-6.275098563212708E10	7.661318318548092E11
-1.1243241544537965E11	7.620202957406472E11
-1.5858481938853012E11	7.548135890003771E11
-2.0383024408571878E11	7.462085755837169E11
-2.487228980727903E11	7.362444919929816E11
-2.956036389086162E11	7.225809749357634E11
-3.3950533937286786E11	7.042708777364381E11
-3.814489681376773E11	6.841399722323271E11
-4.218265545362222E11	6.621738226034801E11
-4.607506522947467E11	6.382895458700665E11
-4.9817472465230176E11	6.124683496376991E11
-5.340623312531444E11	5.848062568183215E11
-5.686887188140409E11	5.554140389012925E11
-6.023140524123613E11	5.232834849988932E11
-6.332675193499912E11	4.8882006341161285E11
-6.617407850381158E11	4.5285012847305756E11
-6.878461289280573E11	4.1549834481796423E11
-7.115359496420265E11	3.7689691991177484E11
-7.321982062699036E11	3.373352595747943E11
-7.4977713905244E11	2.951992932332795E11
-7.671544629750806E11	2.5177544698940485E11
-7.823146823459039E11	2.0851807258820142E11
-7.948023366375824E11	1.6524044838189252E11
-8.042465446527828E11	1.2200473400913872E11
-8.100920480532899E11	7.882004469412946E10
-8.113056993794601E11	3.3319195151338432E10
-8.146998109585034E11	-1.2995298723883484E10
-8.145253229685671E11	-5.6981719964398026E10
-8.09980653901367E11	-1.0002482592425797E11
-8.014687303707919E11	-1.4615637751482233E11
-7.948513700355557E11	-1.9010641371901733E11
-7.833936580459757E11	-2.316886966103486E11
-7.665142840842781E11	-2.75382468791666E11
-7.530383775180503E11	-3.1725504523310535E11
-7.337235279098396E11	-3.559852950891267E11
-7.11526730909645E11	-3.978339668737877E11
-6.899303467804198E11	-4.3460297755658203E11
-6.606735293483474E11	-4.71468496783381E11
-6.365935154858762E11	-5.072780452252515E11
-6.041433249017703E11	-5.3931449320761945E11
-5.75123254320928E11	-5.729784863997723E11
-5.3865144937962964E11	-6.014919717038713E11
-5.0633853750460785E11	-6.309506052064261E11
-4.656306671940544E11	-6.566814950371602E11
-4.309082785872883E11	-6.80485524702587E11
-3.886172066570627E11	-7.038383766248502E11
-3.4938875623189746E11	-7.208085938107552E11
-3.068880752764619E11	-7.397485639632804E11
-2.620341286699265E11	-7.518480573038802E11
-2.199295875864511E11	-7.649207256524503E11
-1.7269715324410876E11	-7.758935406219702E11
-1.2838321930048804E11	-7.797438962318766E11
-8.32292620959465E10	-7.853063661919115E11
-3.32567766053331E10	-7.868127781115793E11
9.990404865175829E9	-7.834122596815048E11
5.587190285631823E10	-7.806157570110858E11
1.0535455052755014E11	-7.743542537765175E11
1.4883871653294733E11	-7.617794364461475E11
1.9291154964927548E11	-7.500824799502723E11
2.383941962761078E11	-7.362465564440352E11
2.841035702780164E11	-7.160060094184099E11
3.244152826162743E11	-6.946082816227312E11
3.649798941642989E11	-6.720625580185159E11
4.056059676332137E11	-6.474800122591903E11
4.470647297062271E11	-6.184755528172698E11
4.817977462595708E11	-5.85574803268016E11
5.153595933883396E11	-5.524304508887787E11
5.47569854585974E11	-5.1763612514770465E11
5.781809207714613E11	-4.8111872701975757E11
6.072347079323787E11	-4.4293621618013544E11
6.356736903056368E11	-4.019817667459817E11
6.581766710629098E11	-3.5685540525635974E11
6.776809581190752E11	-3.1205136431758453E11
6.947408970905524E11	-2.6647273268699274E11
7.092499058253773E11	-2.200102140887315E11
7.209695642770898E11	-1.727436129160455E11
7.29790137758147E11	-1.2480618948158914E11
7.356562007908413E11	-7.636209086207161E10
7.385318482669427E11	-2.7708215017880875E10
7.383821598819932E11	2.1038986565379395E10
7.352364244002217E11	6.96699811183544E10
7.292116900932087E11	1.1788660177207617E11
7.203310629051498E11	1.6571671140062183E11
7.090501739263127E11	2.1349006238296436E11
6.93794003603747E11	2.6121816240593845E11
6.751270751244158E11	3.076019548907764E11
6.53485735344664E11	3.5255963635039453E11
6.291175614581761E11	3.957936668084034E11
6.021259344855305E11	4.372761497912506E11
5.726740491427429E11	4.7682161980226935E11
5.4087480601351355E11	5.143611638068102E11
5.069270730246029E11	5.496238465113309E11
4.709516449287991E11	5.825139142243954E11
4.331023084630994E11	6.128779639903663E11
3.934984608196043E11	6.405488249244255E11
3.522273048579012E11	6.653499341723328E11
3.0916493880310626E11	6.86910785017542E11
2.631020732493888E11	7.06615715845989E11
2.171983041512055E11	7.252726937383726E11
1.7116204830388223E11	7.408017922962458E11
1.2479824949649548E11	7.531414624990571E11
7.818668565618695E10	7.622269875198616E11
3.1443246821028244E10	7.679328014484187E11
-1.542390117865179E10	7.701364952150852E11
-6.23870363706064E10	7.687100458064225E11
-1.102511411785705E11	7.630542787589119E11
-1.595317262709595E11	7.589076080273818E11
-2.0533726608963843E11	7.518156087237572E11
-2.4989851057530627E11	7.408870055273181E11
-2.9355340711201447E11	7.262034824546589E11
-3.365295198936802E11	7.076356974700673E11
-3.8192901548839246E11	6.871821435291261E11
-4.222658429924571E11	6.680938698942799E11
-4.603863259252232E11	6.44319926343729E11
-4.973164672281117E11	6.162866634259879E11
-5.3660483615868134E11	5.860716407658337E11
-5.698407349280292E11	5.586725147132367E11
-6.005896618217443E11	5.2597022498379926E11
-6.311378277218058E11	4.882765118502473E11
-6.612575804929016E11	4.556493554157679E11
-6.853529183838197E11	4.1873044193937976E11
-7.087338139291711E11	3.769453311449128E11
-7.324200244191257E11	3.3938598181694495E11
-7.492736508523193E11	2.988271098389704E11
-7.665480405332211E11	2.5255908241971957E11
-7.810371330601354E11	2.1402131589301212E11
-7.907526953951533E11	1.6906698458369952E11
-8.028732718373969E11	1.2483197880448802E11
-8.065532083829491E11	8.165489113930856E10
-8.112078364708088E11	3.2726945980635384E10
-8.124493106194243E11	-7.802972199596278E9
-8.095364265515675E11	-5.4235601014748375E10
-8.088767998914237E11	-9.908389138045305E10
-7.994714523700508E11	-1.418639928746908E11
-7.907599766859102E11	-1.892425210860659E11
-7.797253164279899E11	-2.2886348922930215E11
-7.641159399245173E11	-2.7330337007732272E11
-7.500001821069645E11	-3.135223335865771E11
-7.285786909743763E11	-3.547829413597007E11
-7.105561372253512E11	-3.9436091878133276E11
-6.837923455837759E11	-4.3232792607973895E11
-6.610178466374304E11	-4.6902820755832794E11
-6.302590138732162E11	-5.05080009938767E11
-6.025417592172042E11	-5.375475102878597E11
-5.690038343633314E11	-5.719709829377251E11
-5.3579778477241675E11	-5.99422345035558E11
-5.038244678514691E11	-6.317487129990377E11
-4.6250100289399194E11	-6.546538637885168E11
-4.260657684447366E11	-6.7781886785834E11
-3.8518154285984503E11	-7.029252441570558E11
-3.4284307320915356E11	-7.193142949707758E11
-3.029283022308031E11	-7.36106182806111E11
-2.5795868787940628E11	-7.53588670157009E11
-2.126838984537275E11	-7.627788784322797E11
-1.698442195404404E11	-7.717106475412971E11
-1.2401666527271556E11	-7.822502638681465E11
-7.581703744389392E10	-7.833973241601992E11
-3.07135357981087E10	-7.83430239598294E11
1.209570354784223E10	-7.840647776480187E11
6.293269102609414E10	-7.800903836848849E11
1.0931875769636633E11	-7.710018060074878E11
1.5296870315389255E11	-7.6078554132075E11
1.9776355012847577E11	-7.521861049789745E11
2.4511703596635968E11	-7.343330490901431E11
2.882964839316275E11	-7.147084701527609E11
3.2846464956865216E11	-6.939357817015642E11
3.7016641595117114E11	-6.742531219560172E11
4.1261798751715784E11	-6.461565499210198E11
4.507962768245289E11	-6.16211336524814E11
4.855172259135254E11	-5.849966840543126E11
5.1749714662023474E11	-5.556670734513588E11
5.546201213069022E11	-5.192708482720981E11
5.860274546415303E11	-4.8027933684935223E11
6.136928046538658E11	-4.400272122084863E11
6.378418106594225E11	-3.98683768809467E11
6.579458525951566E11	-3.575559631980517E11
6.817392715541904E11	-3.154833399315724E11
7.01314909139906E11	-2.6867185170481052E11
7.16569366827133E11	-2.209798269951081E11
7.279830673171045E11	-1.7272017559890808E11
7.355929654006775E11	-1.2418284261965154E11
7.392006948314934E11	-7.593174406988582E10
7.418417656247617E11	-3.029397574733903E10
7.44166206496101E11	1.942100493666608E10
7.419286805207357E11	6.933982215643564E10
7.358843355710405E11	1.1889090797618959E11
7.263027959056274E11	1.6781177411920438E11
7.13354360118961E11	2.158983243639564E11
6.971700966466106E11	2.629498787169473E11
6.778369152030624E11	3.0876660818217004E11
6.55507596079983E11	3.531570723059679E11
6.302403082601824E11	3.959040101214593E11
6.021346622317667E11	4.367638387115972E11
5.713364431498107E11	4.7532895346970386E11
5.392410321598138E11	5.106899974443931E11
5.064655172873005E11	5.4527760609137244E11
4.709796845452258E11	5.781172585863077E11
4.3329573419196454E11	6.086398771205135E11
3.936870121794525E11	6.366743008596406E11
3.523260194962103E11	6.621007865025453E11
3.0933721317664984E11	6.848396758591676E11
2.650391438938615E11	7.048113145518904E11
2.194157393425271E11	7.220032428563615E11
1.729604286533195E11	7.363543157066034E11
1.2552788306408282E11	7.479610246939895E11
7.731487428826337E10	7.571241620794819E11
2.9910560076344677E10	7.643826859884305E11
-1.6583462702526583E10	7.677022717014004E11
-6.312459004587625E10	7.676513356284136E11
-1.0954748047253708E11	7.645028527170227E11
-1.555832190302931E11	7.583790560069359E11
-2.0114087717700677E11	7.493449080064873E11
-2.4606209116257556E11	7.374833773078381E11
-2.901611610968201E11	7.228960674917266E11
-3.332727627656498E11	7.05641944044511E11
-3.7526235771416E11	6.858101883960836E11
-4.1600394514469165E11	6.634782943456376E11
-4.5543431879925586E11	6.387833384170172E11
-4.934544356424763E11	6.118384756695979E11
-5.300131163023471E11	5.827871675685172E11
-5.650386363810586E11	5.517948305109191E11
-5.985396439417882E11	5.19060979363777E11
-6.306203987056218E11	4.848989182829603E11
-6.618240867986603E11	4.508760982022639E11
-6.844103547183965E11	4.155034771775307E11
-7.060707673882185E11	3.762511153140654E11
-7.262263920473154E11	3.355055928842561E11
-7.445887073407357E11	2.935793450678415E11
-7.61069369301468E11	2.5068827379922946E11
-7.757276652246846E11	2.0708657537972787E11
