Jupiter X	Jupiter Y
-8.130123065655895E11	-5.457858382062382E10
-8.091374113513787E11	-9.921529789567453E10
-8.026972552167959E11	-1.4353804362915714E11
-7.937134535880212E11	-1.874070495316655E11
-7.822161640057527E11	-2.3068308540095465E11
-7.682407613751781E11	-2.73229457945713E11
-7.518311503486512E11	-3.149101498292164E11
-7.33035968860543E11	-3.555928252972269E11
-7.119121750206869E11	-3.9514565661954535E11
-6.885222258902141E11	-4.3344171773031213E11
-6.62935414521685E11	-4.703546701374564E11
-6.352275732951285E11	-5.057631264719358E11
-6.05481101845196E11	-5.395483637450747E11
-5.737841128371072E11	-5.71595786495942E11
-5.402310034548246E11	-6.017938121307037E11
-5.049231122718993E11	-6.300366576928824E11
-4.679665133541806E11	-6.562218323289739E11
-4.294749136508455E11	-6.802532159018586E11
-3.895655797766589E11	-7.020388329108053E11
-3.4836337429995575E11	-7.214929291500017E11
-3.059970791293293E11	-7.385356489429735E11
-2.6260241384275085E11	-7.530932695183749E11
-2.183185276584377E11	-7.650994298187427E11
-1.7329130073112567E11	-7.744941657421763E11
-1.2766901669771284E11	-7.812262736226427E11
-8.160562187417577E10	-7.852507040861649E11
-3.525808480656427E10	-7.8653246300837E11
1.1212186126540718E10	-7.850438267038005E11
5.764157095609229E10	-7.807676630887195E11
1.0386290631661414E11	-7.73694871807702E11
1.4970690285553067E11	-7.638277738872461E11
1.950036849198822E11	-7.51177133538374E11
2.3958210445418854E11	-7.357656589414373E11
2.8327039247010876E11	-7.17625625500433E11
3.2589707240082263E11	-6.96801777476764E11
3.6729208675793097E11	-6.733483601381364E11
4.072870488343538E11	-6.473329708472993E11
4.457156453654769E11	-6.188326400992246E11
4.8241690465917303E11	-5.879381176941184E11
5.1723310803967975E11	-5.547489968675348E11
5.500124139836647E11	-5.1937886868610626E11
5.80608721958326E11	-4.81950050224299E11
6.088835981506827E11	-4.4259779571498737E11
6.347066643938844E11	-4.014657653947073E11
6.579565458730696E11	-3.58709405778016E11
6.785220527350502E11	-3.144923363794463E11
6.963036074096434E11	-2.689877387354481E11
7.112118618641572E11	-2.2237559966809406E11
7.231711264435706E11	-1.748441084282244E11
7.321176299410167E11	-1.2658640546612692E11
7.380027229968011E11	-7.780176207527173E10
7.407900432782482E11	-2.869274222413387E10
7.404600775572546E11	2.0534263404336075E10
7.370063734454637E11	6.967241418966809E10
7.304388111287859E11	1.1851382131232835E11
7.207810072297789E11	1.6685195274531525E11
7.08073277464413E11	2.1448185072693655E11
6.923688855688071E11	2.6120191026677496E11
6.737370759693672E11	3.0681538844454675E11
6.522589630882615E11	3.511309024885168E11
6.280317847393666E11	3.9396462123086615E11
6.011638890446139E11	4.3513969952798035E11
5.717765542010989E11	4.7448901275729095E11
5.400007379521954E11	5.1185452712341016E11
5.0597951111818787E11	5.4708961175606213E11
4.6986327365944025E11	5.800576556485559E11
4.318124121930458E11	6.106354690384596E11
3.919928375082869E11	6.387103263283126E11
3.505780591508341E11	6.641841586327872E11
3.077451905002432E11	6.869697400763518E11
2.6367662690215836E11	7.069949399116808E11
2.185563524926273E11	7.241987894682308E11
1.7257140600241843E11	7.385350852883925E11
1.2590861448720009E11	7.499691307201451E11
7.875541898357771E10	7.584800484304913E11
3.129816733420819E10	7.640583947058682E11
-1.627918959699222E10	7.667079490350391E11
-6.379453083499691E10	7.664426204947251E11
-1.1106956729524171E11	7.632895681984481E11
-1.5792978123204935E11	7.57284681808368E11
-2.0420557251254092E11	7.484756231133096E11
-2.4973170609324136E11	7.369183526743574E11
-2.9434944422613544E11	7.226794629688522E11
-3.379053759833601E11	7.058327208450302E11
-3.8025328426082715E11	6.864610212071097E11
-4.212525680709729E11	6.646535593216045E11
-4.607707184553656E11	6.405077106507291E11
-4.986812502483268E11	6.141259212213318E11
-5.3486612690888696E11	5.856177080889768E11
-5.692136308002216E11	5.550965739178768E11
-6.016207186998739E11	5.2268211266868396E11
-6.319910159104708E11	4.884968005681608E11
-6.60236833838452E11	4.5266825738864294E11
-6.862771998865754E11	4.1532615011572327E11
-7.100398513041886E11	3.766044997285231E11
-7.314592775604906E11	3.366384941168567E11
-7.504785392370757E11	2.9556694004663995E11
-7.670471972311549E11	2.5352888243532224E11
-7.811236241536013E11	2.1066613544713513E11
-7.926725833881213E11	1.671203201629091E11
-8.016674490608406E11	1.2303506819494635E11
-8.080877836888209E11	7.855331639141592E10
-8.119218199838365E11	3.3819325901567932E10
-8.131632230321136E11	-1.1023811240851955E10
-8.118149573508561E11	-5.583279870849399E10
-8.078852168506709E11	-1.0046521125470508E11
-8.013907928879757E11	-1.447792644288117E11
-7.923534997201166E11	-1.8863474353855615E11
-7.808042925229711E11	-2.3189302539687762E11
-7.667791434174587E11	-2.7441632718295227E11
-7.50321763899302E11	-3.1607003710049945E11
-7.314821500355983E11	-3.567204889819031E11
-7.103173357209905E11	-3.96237396233772E11
-6.8689009524935E11	-4.3449238164850616E11
-6.612706796708185E11	-4.71361019892193E11
-6.335345919463805E11	-5.067208179767626E11
