Venus X	Venus Y
1.5882125167105236E10	-1.0675090118179517E11
1.0475078021814928E11	-2.8645413308151947E10
6.868935348528009E10	8.453057828061609E10
-5.013529277365142E10	9.591232646629684E10
-1.0698998250762206E11	-9.404701969034616E9
-3.288021009438195E10	-1.0241121509640672E11
8.12201655974427E10	-7.131928113244774E10
9.852286398354514E10	4.5973588230890175E10
-2.749307540871919E9	1.0869906558710368E11
-1.003992897371416E11	3.9516077209339355E10
-7.497815969915024E10	-7.707406438590875E10
4.1282037324528175E10	-9.946744412132706E10
1.0819366257366472E11	-1.8285310279955766E9
4.516956769905997E10	9.897467764859546E10
-7.287068006958015E10	8.03181642470002E10
-1.0172552841765375E11	-3.578136857842401E10
-7.0361395927897415E9	-1.0738931151272067E11
9.585722982818591E10	-4.911413476228588E10
8.367331160906296E10	6.890867321406435E10
-3.0157145307420567E10	1.0445987126260327E11
-1.0750487082957492E11	1.306305292762644E10
-5.400682428101469E10	-9.339320952085559E10
6.4077890041662476E10	-8.63397142363122E10
1.0490148115357753E11	2.4831086198659298E10
1.876607692932741E10	1.069132754253975E11
-9.099408590459065E10	5.933600922130169E10
-9.00685822788126E10	-6.019128897361545E10
1.9258113463682087E10	-1.0602406643767027E11
1.0463047707723283E11	-2.4165248379850735E10
6.363511391010808E10	8.726473661530058E10
-5.5590227749308784E10	9.331443116079274E10
-1.0773238311961372E11	-1.4471332358273714E10
-2.9611041281150467E10	-1.0416859925042453E11
8.303321275456232E10	-6.817255300786332E10
9.52095884510799E10	4.971491197610544E10
-8.726192820079296E9	1.078501556439741E11
-1.0320075108727303E11	3.4341226303400192E10
-7.264190299879648E10	-8.104505990871417E10
4.45010983256643E10	-9.836956079075087E10
1.0713337122748076E11	2.050314820388054E9
3.977521894122586E10	9.995011410160071E10
-7.72996011347176E10	7.603119108165633E10
-1.009499341931026E11	-4.126320949219676E10
-3.179779523151329E9	-1.0866397574193547E11
9.712505881098125E10	-4.599017858606522E10
7.984748503349352E10	7.136530833230887E10
-3.540394032951874E10	1.0182586599248994E11
-1.0857810040943768E11	7.06707976522466E9
-5.0399580744185036E10	-9.692817129051073E10
6.7317616772442215E10	-8.473197378025352E10
1.0332086649928725E11	2.81130358204295E10
1.3709681123873716E10	1.063202744271927E11
-9.37802101859023E10	5.392112658029151E10
-8.752569184970302E10	-6.542861937223222E10
2.375538992971477E10	-1.0641621143695198E11
1.055530509572231E11	-2.0896569244890537E10
5.977171256453791E10	8.865147207972083E10
-5.955328516191199E10	8.943218703119818E10
-1.068162313857263E11	-2.0520909946998898E10
-2.4785528423103775E10	-1.0665477475361981E11
8.624709386718588E10	-6.57452226612185E10
9.332683965450726E10	5.260826759193519E10
-1.3028978672238764E10	1.0614020451285526E11
-1.0410378641641377E11	2.8554845137133137E10
-6.84409987775298E10	-8.53033502619928E10
4.938805859468245E10	-9.742629318944926E10
1.0763630544498903E11	5.686736097889416E9
3.608279255186658E10	1.005953729963646E11
-7.979558001863281E10	7.156941167753644E10
-9.820488279048283E10	-4.658273014367365E10
2.4478923264945803E9	-1.0954401555980153E11
9.995623449843457E10	-4.248425952712089E10
7.759017347430168E10	7.407678658080026E10
-3.888862373184858E10	9.948552065749689E10
-1.0778716877263277E11	1.6495048416309304E9
-4.508713255392103E10	-9.9589478256949E10
7.198838260797868E10	-8.218333679819534E10
1.0304457349262791E11	3.2207255991905273E10
1.0066482858119133E10	1.0647045779768677E11
-9.501105492913954E10	4.9428031871501366E10
-8.351269319177351E10	-6.943375136591095E10
2.9427783987884483E10	-1.0542885967507567E11
1.0741979086166385E11	-1.6348265051328955E10
5.685912918304931E10	9.116997401708711E10
-6.2421424206948E10	8.673150846951985E10
-1.048010201705723E11	-2.5128024961757538E10
-1.9115334027244884E10	-1.0748702983402971E11
8.999786522042072E10	-6.170791465548516E10
9.187425629692473E10	5.691834935386052E10
-1.6792605450305798E10	1.0576819717131367E11
-1.0438772340023322E11	2.427847608082576E10
-6.379283373066156E10	-8.78168676858008E10
5.440005354675834E10	-9.471110370665051E10
1.080541986948304E11	1.0904403752786526E10
3.234217117005026E10	1.026283552666593E11
-8.220082793431093E10	6.853808282164163E10
-9.542874487490793E10	-5.02577998572414E10
7.821680414692922E9	-1.0868597900205368E11
1.0225718969885406E11	-3.739043674177247E10
7.474607662201569E10	7.811908481940689E10
-4.281478943698468E10	9.837744363978586E10
-1.0737707568646248E11	-2.3855234529463105E9
-4.0353495493902565E10	-1.0072218966236752E11
7.57851461224006E10	-7.818761138432701E10
1.0175494736738676E11	3.7476247614896935E10
5.515713588540043E9	1.075796808798519E11
-9.700093583656279E10	4.593188214657892E10
-8.032888459873428E10	-7.227652851297908E10
3.400161545739842E10	-1.0327164369882664E11
1.079812892029927E11	-1.0870901080292332E10
5.268708540944008E10	9.433383981192575E10
-6.635997613633481E10	8.460397122714726E10
-1.0380368160501352E11	-2.902303280289043E10
-1.4654693200517168E10	-1.0752266779936105E11
9.229956366109804E10	-5.703818348962648E10
8.894126373050565E10	6.1548915570928856E10
-2.184758195074091E10	1.0553702551011102E11
-1.0580547891730673E11	2.0217974775783188E10
-6.0368466284155716E10	-8.997750618217203E10
5.7955504881957405E10	-9.171423344924176E10
1.0691517872469836E11	1.6120380099208662E10
2.7192302200492664E10	1.043995237612323E11
-8.578176519360258E10	6.522842883176081E10
-9.379284463261102E10	-5.405421538570786E10
1.1869689918431503E10	-1.0792323163230386E11
1.0308319575772516E11	-3.261112105589317E10
7.050919440440292E10	8.154929442354453E10
-4.787351903260961E10	9.654047366131181E10
-1.07939124961348E11	-7.021573276459369E9
-3.669192488668479E10	-1.0233820266927539E11
7.833635060979149E10	-7.479676390692458E10
9.922719499975717E10	4.185425250810809E10
-2.8182652684524864E7	1.0760137859019029E11
-9.97266468893206E10	4.14132965998248E10
-7.785891642843095E10	-7.597369224605736E10
3.7707628572917114E10	-1.0196489079890598E11
1.0759850223201512E11	-6.469335249209481E9
4.775080766334059E10	9.616658787085661E10
-7.07541682698565E10	8.112700875230254E10
-1.0312357785772832E11	-3.408618988899583E10
-1.0605784681038359E10	-1.0861532952752202E11
9.406471170684637E10	-5.354759764658599E10
8.555655213013127E10	6.474472552969716E10
-2.704799207545096E10	1.0376343526822934E11
-1.0712318595605843E11	1.4769848746246815E10
-5.6849548602731476E10	-9.333087976826508E10
6.146644277466623E10	-8.991482296691385E10
1.0572171988452715E11	1.993322441155966E10
2.2228651052313152E10	1.0460167240012317E11
-8.88646077564346E10	6.043912797153774E10
-9.155993601223279E10	-5.908077046662371E10
1.6394696046329082E10	-1.0827193619100722E11
1.0430135866694563E11	-2.906222407427047E10
6.68117674104817E10	8.356741273684523E10
-5.2077716055739235E10	9.33016916338925E10
-1.0744766648462967E11	-1.2808736968985365E10
-3.204033442108046E10	-1.0487465820237033E11
8.173425397500455E10	-7.23295798459453E10
9.75795885423031E10	4.514801386676817E10
-4.433060192142094E9	1.064793018935261E11
-1.0105237993284737E11	3.595975231782489E10
-7.39804358534811E10	-8.029854260504756E10
4.2661179867623405E10	-1.0116585561563112E11
1.0838239245422733E11	-2.6699473832405186E9
4.413389793339804E10	9.728272404368668E10
-7.355147201768236E10	7.70517216192114E10
-1.0075410363641844E11	-3.9420369158898285E10
-5.020459268401274E9	-1.0974914817773859E11
9.719534775888205E10	-5.0104116934334595E10
8.355857315117299E10	6.776626106404346E10
-3.0635603520008972E10	1.0182892152695233E11
-1.0666408370948045E11	9.440656931511875E9
-5.1661052711366974E10	-9.625424324663274E10
6.641679188490599E10	-8.75931348422906E10
1.0586244183153651E11	2.416151365503367E10
1.8728347225544456E10	1.0514183153499759E11
-9.029653163861316E10	5.615907072027782E10
-8.770210513529979E10	-6.326769923979386E10
2.229232642665885E10	-1.0758915929788472E11
1.0667398968644861E11	-2.4542408923483234E10
6.428255308558113E10	8.642448292050064E10
-5.494729922154786E10	9.09585282953232E10
-1.055758019735157E11	-1.741910297713997E10
-2.622480894103172E10	-1.0597621977563681E11
8.599979964021977E10	-6.841775192303649E10
9.668724549953499E10	4.972615489289315E10
-7.971958879398947E9	1.0657765102932896E11
-1.0141191482217352E11	3.191119747603467E10
-6.92821930659422E10	-8.294354918691534E10
4.810911976774013E10	-9.860646795248541E10
1.0944241874539499E11	2.74048074126198E9
4.0814897524934166E10	9.984822811525125E10
-7.591821770191191E10	7.448181041436214E10
-9.800068517856686E10	-4.300309485582706E10
6.550653962841952E8	-1.0898895970855724E11
1.0012375221474419E11	-4.488120284502251E10
8.128372087025273E10	7.234518394372713E10
-3.437911634591065E10	1.0137265651664323E11
-1.0630595713211554E11	5.756059471927691E9
-4.678350730277924E10	-9.734820258937178E10
7.07327484529149E10	-8.349277255556024E10
1.0520477124334824E11	2.992620018431798E10
1.450790207167961E10	1.0702814538314949E11
-9.231701555458717E10	5.328000028170297E10
-8.452055459908084E10	-6.587238895515522E10
2.7224026514445515E10	-1.0529011216475967E11
1.0783467058106828E11	-1.8619801124885376E10
6.054581988723905E10	9.040614287281801E10
-5.885996472173032E10	8.966885289143411E10
-1.0471699416097342E11	-2.0832390062509693E10
-2.163312718746764E10	-1.0578475647615192E11
8.876689010565558E10	-6.33544087943663E10
9.421447464703188E10	5.514792554152862E10
-1.2936435327934471E10	1.0732641005430315E11
-1.0305930263680336E11	2.857950956863583E10
-6.597318549405275E10	-8.473696027690471E10
5.1910298149895546E10	-9.52526489377552E10
1.0870216318281946E11	8.66030949292596E9
3.579897020180226E10	1.0264533892618379E11
-7.977671460592064E10	7.210301857892416E10
-9.67127058964008E10	-4.62533603394246E10
4.662735646600737E9	-1.0786274055883691E11
1.0119100621901169E11	-3.9510495848454216E10
7.718554488422276E10	7.675463114706708E10
-3.971928000704013E10	1.0060050315931065E11
-1.0739677010896158E11	1.8534886695512862E9
-4.345966232170089E10	-9.854917703633026E10
7.328996288432343E10	-7.961858569766217E10
1.0274961215281802E11	3.515799788875346E10
8.695154998320976E9	1.0814814607741711E11
-9.569244726050804E10	4.966211346475031E10
-8.268158268211519E10	-6.906140003890167E10
3.0642743816961395E10	-1.03585161412436E11
1.0737777463925351E11	-1.352986254549791E10
5.532976795467767E10	9.326422420237685E10
-6.395911280961914E10	8.718353649109995E10
-1.049048962569581E11	-2.5290303975600784E10
-1.8191681735312523E10	-1.0654803306017856E11
9.024448791489915E10	-5.938684808252901E10
9.05032331814863E10	5.918824385132837E10
-1.8855458766755527E10	1.0652547961812988E11
-1.0540627096359984E11	2.380248794438542E10
-6.336285070770456E10	-8.780723983768619E10
5.487361104442571E10	-9.320004339455035E10
1.0709667961772343E11	1.3047314816698135E10
3.0141159130310593E10	1.0368132295859004E11
-8.39581028220364E10	6.7983946048343605E10
