Mercury X	Mercury Y
-5.865155627959082E10	-6.944542573517743E9
4.2978057117025536E10	-4.424825213327949E10
-5.415371949062515E10	1.1674037268929066E10
3.0997575868178665E10	-5.6480035822647285E10
-4.304919099748976E10	2.8896200593383423E10
1.6679041366664106E10	-6.443111546408202E10
-2.548392846022389E10	4.179656895764308E10
1.2173939271841729E9	-6.796236042389009E10
-3.3398336819242725E9	4.714356281733452E10
-1.4333430453923119E10	-6.710447910411481E10
1.9419910921395947E10	4.291507269747505E10
-2.9004770176683117E10	-6.2005305792659004E10
3.810783893457026E10	2.9896640836203526E10
-4.185206742485307E10	-5.292055337191253E10
4.963978205643813E10	1.1364933440204481E10
-5.191084769935116E10	-4.023690343816517E10
5.33844413205116E10	-8.88896880399598E9
-5.816955774600839E10	-2.4542606545813644E10
5.032915303080386E10	-2.797929402432422E10
-5.956937570761208E10	-6.737262511418818E9
4.2023080412967285E10	-4.4150253485965935E10
-5.508601194846453E10	1.1781432906223085E10
3.001650040044646E10	-5.647233156430394E10
-4.398503394128371E10	2.889782627646971E10
1.5685918282018223E10	-6.45177213667563E10
-2.6413132324643204E10	4.168484641559405E10
2.2500382323482716E8	-6.8142677259117905E10
-4.255914292487376E9	4.691565296265882E10
-1.5312465847726112E10	-6.737838428529856E10
1.8520472932578484E10	4.256869807575007E10
-2.9954316824848064E10	-6.237293673303638E10
3.723335380462186E10	2.9437067562126038E10
-4.2757150651238815E10	-5.337942208774036E10
4.879816509154877E10	1.0800297658851107E10
-5.275812390202835E10	-4.078390391373071E10
5.2587703414004944E10	-9.54856942961477E9
-5.894430219936762E10	-2.517166612528687E10
4.958739637443923E10	-2.8722559140462963E10
-6.026042260811176E10	-7.444451884849765E9
4.134646023546225E10	-4.49679742347655E10
-5.568058217544402E10	1.0998113153511898E10
2.9418444600221336E10	-5.735224147869987E10
-4.44746529067947E10	2.8042219055161507E10
1.5177853470387808E10	-6.5445322553421196E10
-2.6791279979607277E10	4.076576536546838E10
-1.831605934254476E8	-6.910508764016216E10
-4.523233861411121E9	4.593952422422863E10
-1.5612840434478315E10	-6.83619413746434E10
1.8360100909802177E10	4.154765169118902E10
-3.014154439223697E10	-6.336478037949444E10
3.7172461416416245E10	2.838720343133857E10
-4.282559793418095E10	-5.436757298601838E10
4.8835087793315E10	9.742618620826012E9
-5.2703951533303375E10	-4.175528812857134E10
5.27189666869688E10	-1.0593572905410557E10
-5.8769332654974884E10	-2.6115952420515255E10
4.981084658822821E10	-2.973591007106666E10
-5.996608532558573E10	-8.352968726101678E9
4.166196303490801E10	-4.593041686085244E10
-5.5272823761095634E10	1.0135819746521166E10
2.9821794320975224E10	-5.824978186303895E10
-4.396168196923923E10	2.7232595659834267E10
1.5664759264368277E10	-6.6265978539234314E10
-2.618589683305339E10	4.001422332992371E10
3.7852855153815687E8	-6.98385705699654E10
-3.8418734977045045E9	4.525044126178039E10
-1.498335347421621E10	-6.900201095099023E10
1.9098702446110683E10	4.092608591661889E10
-2.945119137031429E10	-6.390609270038952E10
3.795045746873293E10	2.784440431656365E10
-4.208457841567311E10	-5.480543048202272E10
4.9634831745155754E10	9.290376894419859E9
-5.192514396203711E10	-4.208786334755335E10
5.352846456805442E10	-1.0947609576487608E10
-5.7962508927826836E10	-2.634357052452402E10
5.061895377801631E10	-2.9988161921983906E10
-5.91420579760914E10	-8.478970102635021E9
4.245827625010133E10	-4.608001443241102E10
-5.4440943535891594E10	1.0103324402591867E10
3.059935840130665E10	-5.829504931882652E10
-4.313414455818473E10	2.7287710379239227E10
1.6413742918408222E10	-6.620802671685515E10
-2.537666615192597E10	4.0147740151108025E10
1.0912301001703763E9	-6.968368650779878E10
-3.0640342110157113E9	4.545085246156565E10
-1.4314131097115492E10	-6.875486458301157E10
1.9826396295117992E10	4.11859953165118E10
-2.8831434169614983E10	-6.357315575850771E10
3.861246466796112E10	2.815871371405893E10
-4.151765872671982E10	-5.439528020305696E10
5.0219530275097336E10	9.658206143325886E9
-5.141385408464354E10	-4.161069241639502E10
5.4028631518326096E10	-1.0530444093637842E10
-5.7510056819462715E10	-2.5810852412623222E10
5.103121018778831E10	-2.9524156451109795E10
-5.874856990015931E10	-7.903303904482723E9
4.278201990679571E10	-4.557265983201267E10
-5.410911712680734E10	1.0709909629222433E10
3.083253994586153E10	-5.775078110807267E10
-4.286757944083662E10	2.790724627701278E10
1.6558666519626175E10	-6.563605304220371E10
-2.517939862109266E10	4.076269240826086E10
1.1514309814270427E9	-6.90918460016801E10
-2.942573847156408E9	4.604682995984955E10
-1.4333317716479595E10	-6.8153580702420494E10
1.9864572049580265E10	4.175150546984055E10
-2.8924210287703384E10	-6.297164469937865E10
3.8558331336525665E10	2.86915147152189E10
-4.168122472994312E10	-5.380382074974931E10
5.006959305883274E10	1.0155176024434813E10
-5.164262093974798E10	-4.10420961356072E10
5.378756670978236E10	-1.0068493976257832E10
-5.779628471591512E10	-2.527563522120385E10
5.070616177254243E10	-2.9101928846962822E10
-5.908604066801929E10	-7.413587289587666E9
4.238180571923542E10	-4.5192584588274185E10
-5.449092351819748E10	1.1141591553057245E10
3.0368242801597687E10	-5.741760642087804E10
-4.3288306054056114E10	2.8269199752456913E10
1.6040898856047787E10	-6.535501548170194E10
-2.5634171293969482E10	4.1043187489322815E10
5.915571603619452E8	-6.887056503920865E10
-3.427956573561797E9	4.6235236381076294E10
-1.492454377167457E10	-6.799544211993448E10
1.9347892876985783E10	4.1843149299770874E10
-2.953619802834071E10	-6.288185237276524E10
3.80106609550176E10	2.8684151749066353E10
-4.229925236178032E10	-5.378822913136223E10
4.949807385649287E10	1.005509593981668E10
-5.22533375294567E10	-4.110330827857254E10
5.32022770256989E10	-1.0256063588191822E10
-5.838724854245179E10	-2.5415913356361423E10
5.012080191576932E10	-2.937112839394807E10
-5.964277756872725E10	-7.63355619127276E9
4.180795605032612E10	-4.5538976681082245E10
-5.500204905169685E10	1.0837852978987707E10
2.981892742843549E10	-5.7836959836649445E10
-4.374099267254667E10	2.787663509104545E10
1.5531883129931187E10	-6.584186650427276E10
-2.6021108366562565E10	4.055874019334159E10
1.374753143365098E8	-6.941588945776366E10
-3.7440747582706575E9	4.566158252701305E10
-1.5311416081483484E10	-6.859237995593544E10
1.9099600438631714E10	4.118483262077304E10
-2.9843210717326874E10	-6.352165022384058E10
3.7829376894151085E10	2.795547750955043E10
-4.251609331822644E10	-5.446180685842419E10
4.9384218353724106E10	9.273494935958908E9
-5.236837401274249E10	-4.1802713100093376E10
