Charon X	Charon Y
1.6131737329647954E12	-4.740119440061277E12
1.6320876107487432E12	-4.737908068674852E12
1.6510173000107563E12	-4.735576873099328E12
1.6698878622796704E12	-4.733235954174804E12
1.6887697986783289E12	-4.730775912397104E12
1.707598133010668E12	-4.728305511231392E12
1.726429335930691E12	-4.725718552448433E12
1.7452170772142498E12	-4.723117609635681E12
1.7639941116329377E12	-4.720406981135924E12
1.7827431546959763E12	-4.717673042920381E12
1.801462747081222E12	-4.714843315683758E12
1.8201742426423384E12	-4.711972920694492E12
1.8388346882047776E12	-4.709029081862487E12
1.857507279405126E12	-4.706019306954631E12
1.8761104109332324E12	-4.7029645342434E12
1.8947383507967585E12	-4.699815824283182E12
1.9132909193048513E12	-4.696648304213628E12
1.9318637627632983E12	-4.6933674953200625E12
1.9503760948868203E12	-4.690078263139672E12
1.9688821879184617E12	-4.686678943916626E12
1.9873623482223098E12	-4.683254231748106E12
2.005796586396899E12	-4.679751063253366E12
2.0242417724178171E12	-4.676181390806723E12
2.0426130645704155E12	-4.672578679118973E12
2.0610058677218577E12	-4.668870441613355E12
2.0793346954958135E12	-4.665153657626891E12
2.0976534926244133E12	-4.661330573003843E12
2.11595400044266E12	-4.657474819677222E12
2.134194988776986E12	-4.653558801906878E12
2.1524548322709143E12	-4.649555759417173E12
2.1706422012020889E12	-4.645539664722445E12
2.1888294367866978E12	-4.641415022632821E12
2.206989365233782E12	-4.637264694047235E12
2.2250924538849736E12	-4.633051528355657E12
2.2432124851801035E12	-4.628752048103846E12
2.261262837131986E12	-4.624441138580677E12
2.2793025199222456E12	-4.620027595508884E12
2.297328336933357E12	-4.615575307153061E12
2.315285491308744E12	-4.611081010048461E12
2.333256682683572E12	-4.606486394949558E12
2.3511774081214434E12	-4.601879058922154E12
2.3690555391603657E12	-4.597194548254563E12
2.3869438771645566E12	-4.592435174651253E12
2.40476283699356E12	-4.587662509199495E12
2.4225645679066973E12	-4.582793706434142E12
2.4403601734156494E12	-4.577875290854638E12
2.4580835995856006E12	-4.572931193048879E12
2.475804618256947E12	-4.56788668015877E12
2.4935042654322515E12	-4.562808436304419E12
2.51113551178449E12	-4.557692779419406E12
2.528770063126511E12	-4.552478868731823E12
2.5463743996150566E12	-4.547238265866232E12
2.563913700357843E12	-4.541954431925824E12
2.581456730119793E12	-4.536574992935078E12
