Deimos X	Deimos Y
-2.3563915357115747E11	-6.03758413958302E10
-1.9681354204462225E11	-1.3206933598387048E11
-1.3313272908026482E11	-1.8673964095422165E11
-5.093494906147878E10	-2.1511210489161685E11
3.885551884707897E10	-2.0999959943691174E11
1.218493643094125E11	-1.6882092573312576E11
1.821647175093525E11	-9.632198862151773E10
2.077687815880466E11	-5.343756825560537E9
1.9436206763498523E11	8.7028783264303E10
1.4663189784087473E11	1.6439717821760956E11
7.512587839681288E10	2.1587312745119882E11
-7.400150816978473E9	2.3638844194732355E11
-8.908388881970778E10	2.2621670205241287E11
-1.60315244097889E11	1.8879619720783258E11
-2.1337704651562335E11	1.3016237569059155E11
-2.427968095356084E11	5.720010006272332E10
-2.4536696293555078E11	-2.197801692017942E10
-2.1994737429400214E11	-9.845290808910335E10
-1.6773559607329083E11	-1.6259831182012262E11
-9.333155199599773E10	-2.0489506124254156E11
-5.603304307137485E9	-2.168258643270047E11
8.267552560434302E10	-1.927909530561475E11
1.5583756350918405E11	-1.3439475614549654E11
1.9934647148784665E11	-5.045079203698991E10
2.0476810674397147E11	4.3402619900129684E10
1.7265334994616742E11	1.2977712825432202E11
1.112928982243098E11	1.948823678314188E11
3.2952580567843216E10	2.3082583751489783E11
-5.029438486243722E10	2.3600775222716064E11
-1.2773510523577187E11	2.1205032687502496E11
-1.9082802820498566E11	1.6383862616240628E11
-2.332818104029224E11	9.776859100326163E10
-2.5085734204840784E11	2.126598175434193E10
-2.41313413666396E11	-5.745025335034264E10
-2.0459004807840164E11	-1.2951645694135413E11
-1.432700325979214E11	-1.856974269040375E11
-6.325540041423475E10	-2.170686411358425E11
2.5645891433152515E10	-2.1643931925804852E11
1.0994655999555658E11	-1.8065238185404285E11
1.7452557986530127E11	-1.1312159174802118E11
2.067620973495476E11	-2.4802234540967937E10
2.0094275794187888E11	6.818154186647129E10
1.5991116456928827E11	1.4953093091308447E11
9.299758912449426E10	2.0721679912639377E11
1.2290176912881268E10	2.351405659338884E11
-7.036897308763039E10	2.3243147386996576E11
-1.448985973114496E11	2.0190375305461792E11
-2.034051693245212E11	1.4869734421444907E11
-2.4012576097453558E11	7.940226249545708E10
-2.5129625236006686E11	1.5990294012857442E9
-2.3516033969495898E11	-7.63563932486538E10
-1.9222317542976672E11	-1.4549682234238977E11
-1.2577727597095625E11	-1.9658950561332117E11
-4.259788900248193E10	-2.2096681025676166E11
4.658194449078319E10	-2.1216093667529843E11
