Moon X	Moon Y
-3.0343390691032578E10	1.4515531809494775E11
-1.1956415219424911E11	8.674813047440555E10
-1.484495071168822E11	-1.4406557460542881E10
-1.0290496682277385E11	-1.0933849516386871E11
-8.642771190383183E9	-1.5053342614556375E11
9.090420495180315E10	-1.2111683341539163E11
1.46293291557588E11	-3.3513068818660713E10
1.3227946017019627E11	7.009437278333873E10
5.117995979272189E10	1.3924069632957254E11
-5.465397919452243E10	1.3762302088013913E11
-1.3372833883017815E11	6.5444425224663994E10
-1.439609895461081E11	-3.917155717908429E10
-8.461766662926846E10	-1.2487602253084041E11
1.6240864532429737E10	-1.498201533082636E11
1.0840914274862657E11	-1.0469364892299751E11
1.4973207885810855E11	-8.481745487185637E9
1.174607922484904E11	9.093376185251637E10
2.6582091562358765E10	1.4627923760365146E11
-7.828714740654538E10	1.2575658004080608E11
-1.432401493436655E11	4.238471457127978E10
-1.362552652097277E11	-6.335217138421252E10
-6.3390692784799484E10	-1.3666107540081367E11
3.997897979019424E10	-1.458514674917079E11
1.2342844920172635E11	-8.489234338043382E10
1.4854768334075854E11	1.585088281949394E10
9.947768654813861E10	1.0982176629264711E11
1.0194912558573334E9	1.4797038975764038E11
-9.961420641338774E10	1.1084428639603246E11
-1.4852035890674374E11	1.7028208775776384E10
-1.2501589847943588E11	-8.512700651325381E10
-4.0042605166148865E10	-1.457295537306641E11
6.218677517954516E10	-1.374749269037502E11
1.3575715215857477E11	-6.362763307802495E10
1.425905214187113E11	4.004072158612044E10
7.947777282925473E10	1.2488273022901225E11
-2.529251833936383E10	1.453649452499393E11
-1.1701549476503438E11	9.233791774742296E10
-1.5024738073031738E11	-8.974860255445309E9
-1.0927085015958072E11	-1.0462158771184517E11
-1.625506057701232E10	-1.5127568066253198E11
8.372473036043735E10	-1.2517335207058008E11
1.4385136588665363E11	-4.124551762292108E10
1.3342786663645683E11	6.360802380838888E10
5.6838660076362625E10	1.3553383668362312E11
-5.021015702930447E10	1.3913635447600323E11
-1.3108924312423682E11	7.023089128323611E10
-1.47335789218679E11	-3.3903408672907257E10
-9.035943394705338E10	-1.2213738718711096E11
8.050343252232232E9	-1.5189907177055853E11
1.0342771748501105E11	-1.1034160496536502E11
1.478256090022441E11	-1.693144380390737E10
1.2114348786359407E11	8.462728117625099E10
3.2103543268440674E10	1.4286442974209613E11
-7.279656821275632E10	1.2827910995484369E11
-1.419262927236505E11	4.655054886644276E10
-1.3928160682185464E11	-5.8145262230567924E10
-6.966435572796545E10	-1.3607281668022578E11
3.3193769744379818E10	-1.484328368501229E11
1.1963216871655032E11	-9.256593909716177E10
1.4870041044017795E11	8.165590350354459E9
1.0475055982944267E11	1.0297065981731293E11
7.342649848768595E9	1.4656149283387497E11
-9.371327903557439E10	1.1316643687883426E11
-1.4792628627059842E11	2.233363121573524E10
-1.2762048896402036E11	-8.13721265799318E10
-4.661140985774368E10	-1.4535167598003748E11
5.739117431361877E10	-1.416507394636105E11
1.3279823602485936E11	-7.120035778211343E10
1.4562230409592816E11	3.2366126020459534E10
8.520870167331888E10	1.1939366139300684E11
-1.721176102575301E10	1.4533571895924802E11
-1.1226052935694905E11	9.56779789414708E10
-1.4906615174913107E11	-2.9647449352428126E9
-1.1304176728468005E11	-1.0152883196466772E11
-2.1517497779200405E10	-1.5093601765827396E11
7.92339735141487E10	-1.3051525605597649E11
1.4315632423281778E11	-4.788207472514453E10
1.3752103342598947E11	5.593816411822213E10
6.3998478139925766E10	1.3260208473986078E11
-4.219541159076875E10	1.398198171416265E11
-1.2677849817096571E11	7.589856187064822E10
-1.4680186445675937E11	-2.8467621776585903E10
-9.478642454214796E10	-1.1818628364333066E11
3.444793627329539E9	-1.5294900778757208E11
9.929651323197655E10	-1.1498080962233942E11
1.4909529074259695E11	-2.392591645995718E10
1.255988071556379E11	7.889337780488718E10
4.069950830398811E10	1.4116214854327573E11
-6.610963095758692E10	1.3112795710417313E11
-1.375802356168297E11	5.3142324036314766E10
-1.4084587527080142E11	-5.2220110703065475E10
-7.364845058205827E10	-1.3227648841234128E11
2.761750272741205E10	-1.5008526047690964E11
1.1717662255516588E11	-9.686239624517207E10
1.5003468393896606E11	1.2556220266532412E9
1.1071207577645174E11	9.9279389943528E10
1.5180195667097712E10	1.458871988127372E11
-8.73520484799066E10	1.1852145211493005E11
-1.454194657172489E11	2.8874881666436092E10
-1.3024734812718217E11	-7.431588369493173E10
-5.151722578258723E10	-1.4301473314380527E11
5.164888314018512E10	-1.4274636135981253E11
1.3098813321440013E11	-7.662520361790076E10
1.4720301142882767E11	2.706042908518076E10
9.194940833009334E10	1.1607904384028279E11
-1.057660948958808E10	1.4705927340581393E11
-1.0648770664302692E11	1.015410936206136E11
-1.4914360011659906E11	4.60423045726785E9
-1.1621684251674083E11	-9.529351413203064E10
-2.8314269512137085E10	-1.490948948210209E11
7.43954779662632E10	-1.3249484239373958E11
1.4066910936533435E11	-5.362092964006771E10
1.4056772392505603E11	5.125284825686443E10
6.971580530802086E10	1.2999195250331245E11
-3.546339384092544E10	1.432131172660333E11
-1.2340637881652348E11	8.182571052960632E10
-1.4790429126516248E11	-2.025583966391002E10
-9.995841760018338E10	-1.1365895954169092E11
-3.574261451052874E9	-1.5136962902390628E11
9.415622916578412E10	-1.189999590376708E11
1.472460241363915E11	-2.907226666125416E10
1.2909875217462425E11	7.342912373570015E10
4.6125808094163574E10	1.4040876425959158E11
-5.999105234703398E10	1.3433500277865402E11
-1.3619946674383336E11	6.0228682585944824E10
-1.42929326507888E11	-4.550091251414873E10
-8.068000110774922E10	-1.2825384664286275E11
2.107682951146787E10	-1.5059656106008948E11
