Voyager 1 X	Voyager 1 Y
-5.029615067704941E12	-2.1906709827939945E13
-5.037019281644183E12	-2.1955637365121457E13
-5.044423081283012E12	-2.2004563096400688E13
-5.051826468741169E12	-2.2053487029657797E13
-5.059229446122452E12	-2.21024091727215E13
-5.066632015514849E12	-2.215132953336907E13
-5.074034178990686E12	-2.220024811932722E13
-5.08143593860683E12	-2.2249164938272312E13
-5.088837296404779E12	-2.2298079997830953E13
-5.096238254410898E12	-2.234699330558011E13
-5.103638814636461E12	-2.23959048690479E13
-5.111038979077895E12	-2.2444814695713867E13
-5.118438749716921E12	-2.2493722793009246E13
-5.12583812852067E12	-2.2542629168317754E13
-5.133237117441782E12	-2.259153382897556E13
-5.140635718418642E12	-2.2640436782271984E13
-5.148033933375473E12	-2.2689338035449773E13
-5.155431764222465E12	-2.273823759570561E13
-5.162829212855971E12	-2.27871354701904E13
-5.170226281158501E12	-2.2836031666009582E13
-5.177622970999038E12	-2.2884926190223605E13
-5.185019284233077E12	-2.293381904984852E13
-5.192415222702693E12	-2.298271025185595E13
-5.199810788236764E12	-2.3031599803173645E13
-5.207205982651078E12	-2.3080487710685863E13
-5.214600807748426E12	-2.31293739812338E13
-5.221995265318743E12	-2.317825862161592E13
-5.229389357139164E12	-2.3227141638588098E13
-5.236783084974306E12	-2.3276023038864086E13
-5.244176450576168E12	-2.332490282911614E13
-5.251569455684418E12	-2.3373781015974973E13
-5.258962102026413E12	-2.3422657606030324E13
-5.266354391317379E12	-2.3471532605831152E13
-5.273746325260409E12	-2.3520406021886105E13
-5.281137905546707E12	-2.356927786066395E13
-5.288529133855602E12	-2.361814812859334E13
-5.29592001185465E12	-2.3667016832063926E13
-5.303310541199827E12	-2.3715883977426094E13
-5.31070072353556E12	-2.3764749570991555E13
-5.318090560494796E12	-2.3813613619033637E13
-5.325480053699243E12	-2.3862476127787543E13
-5.332869204759309E12	-2.3911337103450574E13
-5.340258015274313E12	-2.3960196552182633E13
-5.347646486832521E12	-2.4009054480106434E13
-5.355034621011282E12	-2.4057910893307734E13
-5.362422419377134E12	-2.4106765797835703E13
-5.36980988348585E12	-2.4155619199703395E13
-5.377197014882587E12	-2.4204471104887688E13
-5.384583815101939E12	-2.4253321519329727E13
-5.391970285668086E12	-2.4302170448935312E13
-5.399356428094831E12	-2.43510178995751E13
-5.406742243885729E12	-2.439986387708488E13
-5.414127734534181E12	-2.4448708387265773E13
-5.421512901523455E12	-2.449755143588468E13
-5.428897746326915E12	-2.4546393028674445E13
-5.436282270407948E12	-2.4595233171334082E13
-5.443666475220216E12	-2.4644071869529223E13
-5.45105036220763E12	-2.4692909128892195E13
-5.458433932804481E12	-2.4741744955022266E13
-5.465817188435515E12	-2.4790579353486016E13
-5.473200130516021E12	-2.4839412329817707E13
-5.480582760451928E12	-2.4888243889519215E13
-5.487965079639849E12	-2.4937074038060355E13
-5.495347089467221E12	-2.498590278087951E13
-5.502728791312328E12	-2.5034730123383414E13
-5.510110186544451E12	-2.5083556070947555E13
-5.517491276523914E12	-2.513238062891642E13
-5.524872062602077E12	-2.5181203802603773E13
-5.53225254612156E12	-2.5230025597292914E13
-5.539632728416227E12	-2.527884601823671E13
-5.547012610811319E12	-2.5327665070658094E13
-5.554392194623444E12	-2.5376482759750066E13
-5.561771481160745E12	-2.5425299090676105E13
-5.569150471722888E12	-2.5474114068570316E13
-5.5765291676012295E12	-2.552292769853748E13
-5.583907570078765E12	-2.5571739985653684E13
-5.591285680430319E12	-2.5620550934966047E13
-5.598663499922505E12	-2.566936055149321E13
-5.606041029813897E12	-2.5718168840225824E13
-5.613418271355053E12	-2.576697580612604E13
-5.620795225788503E12	-2.5815781454128363E13
-5.628171894348952E12	-2.586458578913965E13
-5.635548278263259E12	-2.591338881603925E13
-5.642924378750506E12	-2.5962190539679203E13
-5.650300197022103E12	-2.6010990964884473E13
-5.6576757342818E12	-2.6059790096453445E13
-5.665050991725767E12	-2.6108587939157465E13
-5.672425970542678E12	-2.6157384497741727E13
-5.679800671913726E12	-2.6206179776925047E13
-5.687175097012722E12	-2.625497378140027E13
-5.694549247006148E12	-2.6303766515834062E13
-5.701923123053209E12	-2.635255798486783E13
-5.709296726305882E12	-2.6401348193117234E13
-5.716670057908962E12	-2.6450137145172742E13
-5.724043119000192E12	-2.649892484559968E13
-5.731415910710201E12	-2.6547711298938516E13
-5.738788434162688E12	-2.659649650970465E13
-5.746160690474403E12	-2.6645280482389324E13
-5.753532680755211E12	-2.66940632214593E13
-5.760904406108138E12	-2.6742844731356824E13
-5.768275867629455E12	-2.679162501650045E13
-5.775647066408751E12	-2.6840404081284742E13
-5.783018003528894E12	-2.6889181930080582E13
-5.790388680066177E12	-2.693795856723536E13
-5.79775909709033E12	-2.6986733997073066E13
-5.805129255664619E12	-2.703550822389462E13
-5.812499156845832E12	-2.708428125197792E13
-5.819868801684353E12	-2.7133053085577812E13
-5.827238191224273E12	-2.7181823728926656E13
-5.834607326503339E12	-2.723059318623422E13
-5.841976208553066E12	-2.727936146168809E13
-5.849344838398827E12	-2.732812855945332E13
-5.856713217059795E12	-2.73768944836732E13
-5.8640813455491045E12	-2.7425659238468945E13
-5.871449224873811E12	-2.7474422827940156E13
-5.878816856035019E12	-2.7523185256164895E13
-5.886184240027841E12	-2.7571946527199652E13
-5.893551377841548E12	-2.762070664507963E13
-5.900918270459538E12	-2.7669465613819082E13
-5.908284918859435E12	-2.7718223437411086E13
-5.915651324013054E12	-2.7766980119827992E13
-5.923017486886557E12	-2.7815735665021387E13
-5.930383408440445E12	-2.7864490076922355E13
-5.937749089629532E12	-2.791324335944168E13
-5.945114531403171E12	-2.7961995516469598E13
-5.95247973470507E12	-2.8010746551876316E13
-5.959844700473519E12	-2.805949646951219E13
-5.967209429641342E12	-2.810824527320765E13
-5.974573923135988E12	-2.815699296677328E13
-5.981938181879484E12	-2.8205739554000258E13
-5.98930220678859E12	-2.8254485038660246E13
-5.996665998774763E12	-2.830322942450552E13
-6.004029558744229E12	-2.8351972715269145E13
-6.011392887597999E12	-2.8400714914665293E13
