Pluto X	Pluto Y
1.6131627948301099E12	-4.740134812906567E12
1.6320983063502102E12	-4.737892735667196E12
1.6510070112134634E12	-4.735592253971171E12
1.6698974525024587E12	-4.733220686151193E12
1.6887611495000156E12	-4.730791046225349E12
1.707605482378627E12	-4.728290810154816E12
1.72642361615078E12	-4.725732618261528E12
1.7452207515514036E12	-4.723104672137694E12
1.7639928331182478E12	-4.720418384368706E12
1.782741664733511E12	-4.7176638536656E12
1.8014671994048167E12	-4.714849775137694E12
1.8201667212346963E12	-4.711969907199265E12
1.838845043883148E12	-4.709028298176381E12
1.8574945566698152E12	-4.706024281155645E12
1.8761246012467017E12	-4.702955617485615E12
1.8947239328340928E12	-4.69982824899879E12
1.9133040707256453E12	-4.696633594505436E12
1.9318536120746545E12	-4.693382927663872E12
1.950381809214851E12	-4.690064186949365E12
1.968882105888666E12	-4.68668948800912E12
1.987356606049377E12	-4.683249131513044E12
2.0058074498833118E12	-4.679749544729181E12
2.0242277818665508E12	-4.676189544481726E12
2.0426273371159412E12	-4.672565429740175E12
2.0609947523065037E12	-4.668885902755781E12
2.079339841165061E12	-4.665139828169567E12
2.0976560968910295E12	-4.661338866902202E12
2.1159442958767927E12	-4.657474617460403E12
2.134209075752442E12	-4.65355052862825E12
2.1524410744867527E12	-4.649569951740406E12
2.1706507974775906E12	-4.64552444648661E12
2.188829591969075E12	-4.641425411096584E12
2.2069804561068306E12	-4.637263365382947E12
2.2251066656370713E12	-4.633042878222352E12
2.2431994034934614E12	-4.628766918145233E12
2.2612686313158296E12	-4.624426939385735E12
2.279307264194404E12	-4.620033839171172E12
2.2973155007029976E12	-4.615580359492661E12
2.3152995812667466E12	-4.611067103439799E12
2.333249652119786E12	-4.606501118035499E12
2.3511730927352036E12	-4.601872370370641E12
2.3690688116983887E12	-4.597188627032876E12
2.38693045942819E12	-4.592449839036318E12
2.4047671851727085E12	-4.58764902047814E12
2.422572718491998E12	-4.58279609123109E12
2.4403455952416665E12	-4.577885826941582E12
2.4580933848769106E12	-4.572915648210542E12
2.4758077582135107E12	-4.567894525432017E12
2.4934907750513574E12	-4.562814874495262E12
2.511147781962779E12	-4.557677348530522E12
2.5287702275382285E12	-4.552489291807635E12
2.546361879676383E12	-4.547242549332672E12
2.5639266599610493E12	-4.541939279346629E12
2.581456365414259E12	-4.536585835022757E12
2.5989550311291914E12	-4.531174275812877E12
2.616426338749702E12	-4.525706736055733E12
2.633862469263457E12	-4.520189543928634E12
2.6512665734751895E12	-4.514615416440837E12
2.668643133835983E12	-4.508985150643156E12
2.6859849177717188E12	-4.503305729512761E12
2.7032930734217734E12	-4.497571260214447E12
2.7205733912167554E12	-4.491780086470866E12
2.7378200918253403E12	-4.4859397061943545E12
2.75503132580263E12	-4.480046931922383E12
2.7722136253430005E12	-4.474097171929396E12
2.789364248052234E12	-4.468096990412086E12
2.806478233091751E12	-4.462047345467554E12
2.8235607756581113E12	-4.455941837894913E12
2.8406135481728247E12	-4.449783510982274E12
2.8576304115171636E12	-4.443577475617846E12
2.874612349621456E12	-4.437318878875218E12
2.891564570425851E12	-4.431005399395846E12
2.908483755120004E12	-4.424643097747793E12
2.925365851999073E12	-4.418232449682515E12
2.9422151476194478E12	-4.411767917149733E12
2.9590339749033926E12	-4.405251165544266E12
2.975817385277155E12	-4.398687479574677E12
2.9925640243315137E12	-4.392074497674848E12
3.009278670197071E12	-4.3854080483494863E12
3.0259616010637485E12	-4.3786914789777305E12
3.0426080190773154E12	-4.371928754625663E12
3.059217874952908E12	-4.365116719078037E12
3.0757955354881055E12	-4.358252189145458E12
3.0923407308775024E12	-4.351338618670579E12
