Ganymede X	Ganymede Y
3.690524428090057E11	-6.7316872088351E11
4.0831211429323175E11	-6.482885386530464E11
4.454718918675132E11	-6.194882111178488E11
4.819730629352846E11	-5.874847281831112E11
5.176434409549139E11	-5.537164415493088E11
5.51384964269241E11	-5.1894578289615845E11
5.817436999240483E11	-4.8282294864630664E11
6.086785635187122E11	-4.436372570821248E11
6.339963249184102E11	-4.0141229102515436E11
6.580910270179944E11	-3.578687552406045E11
6.797808780641063E11	-3.142698485136187E11
6.971987245756992E11	-2.7017491136860596E11
7.107471114831962E11	-2.2345369498011575E11
7.225259935819874E11	-1.7471022642453464E11
7.325756258768735E11	-1.2592447917407428E11
7.39394275464748E11	-7.811533079430838E10
7.412353771441688E11	-3.02161626616887E10
7.397645520263572E11	1.996835312568415E10
7.371317928280317E11	7.023190918426237E10
7.318755173638804E11	1.1837177737900269E11
7.213929836668551E11	1.652906881567914E11
7.074812691092019E11	2.1410311367966455E11
6.930124686557109E11	2.6179338757141718E11
6.753025098086411E11	3.060533827697008E11
6.520318107268762E11	3.4993116356914923E11
6.281440253988541E11	3.945250643709571E11
6.028090202249758E11	4.34949714651108E11
5.719615624255995E11	4.731177533931029E11
5.399598036458017E11	5.1239963418353766E11
5.0758933111529456E11	5.4717262014663007E11
4.702281834607992E11	5.787336676992943E11
4.3163674997100226E11	6.111939215631506E11
3.9353153426011633E11	6.389938772248677E11
3.5096524753417926E11	6.629568801896813E11
3.074905143094259E11	6.876262010145618E11
2.6513674446312857E11	7.07366187432444E11
2.188065545598693E11	7.230706067864377E11
1.72304102672596E11	7.39367826910287E11
1.2731342454814523E11	7.50200074186559E11
7.855357619541603E10	7.575128240159524E11
3.1172842972912598E10	7.650967105980514E11
-1.5013545453135456E10	7.666063815318586E11
-6.453461115613016E10	7.657966088349099E11
-1.1085600276749037E11	7.643835265501005E11
-1.5707654415787805E11	7.565956309288771E11
-2.053362567089285E11	7.485387651174711E11
-2.4905492744015454E11	7.376527985880192E11
-2.944295751128888E11	7.215249180867693E11
-3.386615055036096E11	7.066680239309725E11
-3.794083576661446E11	6.862632247924686E11
-4.223960078256724E11	6.637934017018777E11
-4.607877142130546E11	6.413362798600198E11
