Callisto X	Callisto Y
-6.341057753179688E11	4.883382052478901E11
-6.592660319545839E11	4.5466889914568365E11
-6.886723095450352E11	4.155876735305496E11
-7.08968748983143E11	3.7829264468186835E11
-7.340681257461167E11	3.373605312054433E11
-7.494037989841584E11	2.9689994924176465E11
-7.69787017246069E11	2.5467418529447076E11
-7.801447583059097E11	2.1164713506972906E11
-7.95464958097513E11	1.6876376221438754E11
-8.009096104574655E11	1.2357443995270128E11
-8.108187484573014E11	8.066599466253882E10
-8.114959489056624E11	3.3965087445460228E10
-8.157358638422153E11	-8.50993975752261E9
-8.118155519298792E11	-5.6024568233826355E10
-8.102603436171879E11	-9.768091519691261E10
-8.018218052450564E11	-1.4520012928712454E11
-7.945280426216086E11	-1.856964155968723E11
-7.81677472761708E11	-2.3248746706954172E11
-7.686984925873495E11	-2.7139319927031772E11
-7.51679842667151E11	-3.1679199633810706E11
-7.330616091184751E11	-3.537041001850796E11
-7.122111985627814E11	-3.970139411518247E11
-6.88050271821504E11	-4.3161493462868463E11
-6.637273124577163E11	-4.7208099651436096E11
-6.3424522624345E11	-5.0415646285978076E11
-6.067596777042117E11	-5.409616240079196E11
-5.723306926793175E11	-5.70402615803503E11
-5.4191323936590564E11	-6.026914750954509E11
-5.031752954397551E11	-6.293548789410402E11
-4.6984436296415735E11	-6.565842867525702E11
-4.2760908734842834E11	-6.801388059288048E11
-3.914703847903375E11	-7.019003788150496E11
-3.465354571354451E11	-7.21922445298771E11
-3.077521385928907E11	-7.377776211208412E11
-2.6103045257551492E11	-7.541196751480297E11
-2.1974827369189136E11	-7.638348288559229E11
-1.720805277000773E11	-7.759229325652252E11
-1.2878573481929172E11	-7.796832548288645E11
-8.064084047402167E10	-7.868478328962684E11
-3.6218915182518814E10	-7.848919408639177E11
1.2065853260644627E10	-7.867028603691201E11
5.677617086289178E10	-7.7907639671657E11
1.0458253939099655E11	-7.754219987438026E11
1.4920510355638516E11	-7.620076329092917E11
1.9537479490888156E11	-7.530210521656975E11
2.3929589334829816E11	-7.339019062869077E11
2.83443178250208E11	-7.19500550680426E11
3.258546745208598E11	-6.949196778255314E11
3.6732737027514655E11	-6.752264687769694E11
4.073063773915631E11	-6.454528952335803E11
4.458158072342622E11	-6.207015261880654E11
4.822537675732833E11	-5.860715249004385E11
5.1761632176063464E11	-5.565797110704773E11
5.4947350435028937E11	-5.1758083164853406E11
5.814181446566941E11	-4.836260377363501E11
6.079017391947936E11	-4.409951749627138E11
6.358201528236663E11	-4.0296378961603436E11
6.567974856933527E11	-3.57224902336218E11
6.797946780019381E11	-3.1585762773262115E11
6.949738833898359E11	-2.6765161739479822E11
7.126489933205886E11	-2.2355876510000778E11
7.216928213163684E11	-1.73668162848007E11
7.337122478814143E11	-1.2754876354584889E11
7.363588780943839E11	-7.688073863359883E10
7.42514891914902E11	-2.940822719183335E10
7.38722808458997E11	2.125668527082377E10
7.388170811264712E11	6.919614110495787E10
7.286178763052E11	1.1893413917118298E11
7.226601221683387E11	1.667968571790666E11
7.062206423884379E11	2.143941254471757E11
6.94196814951643E11	2.6168083322548508E11
6.720031064214104E11	3.061939834613222E11
6.538728882900167E11	3.521377383624779E11
6.265637056811841E11	3.928627922416739E11
6.025386187010787E11	4.364648448886674E11
5.704857307768024E11	4.731847371647843E11
5.412202295266853E11	5.1332996810794507E11
5.048244935146323E11	5.4566325995912494E11
4.7098715772490784E11	5.81608312228097E11
4.307784959912018E11	6.091230764268236E11
3.929625351888965E11	6.403581420641372E11
3.497693644241232E11	6.625441341620741E11
3.0846517843648364E11	6.887425087729323E11
2.6317092199418118E11	7.052405998604376E11
2.1894099319728586E11	7.260703358744485E11
1.724235437321415E11	7.367128627819165E11
1.2599314738573862E11	7.518766656068608E11
7.893660172590503E10	7.566563994930631E11
3.1064833464401627E10	7.659459741209341E11
-1.5731301952392023E10	7.649498266663721E11
-6.439457905759213E10	7.682392654597551E11
-1.1015529262240681E11	7.61678871937372E11
-1.588131851654296E11	7.589537352524666E11
-2.0305783977555496E11	7.470044333861143E11
-2.5082832960755988E11	7.384449015960496E11
-2.9305276143433093E11	7.213195805921763E11
-3.3905902134985535E11	7.073113864011094E11
-3.7891194654248254E11	6.851380650750433E11
-4.224100508144646E11	6.661318629999951E11
-4.594337567333885E11	6.391768058564355E11
-4.998295324944672E11	6.15611395532216E11
-5.3354822374407465E11	5.842653760616234E11
-5.703378973923654E11	5.565971007083479E11
-6.00356750556864E11	5.212736072506897E11
-6.329948494885011E11	4.900824525302437E11
-6.590696872205706E11	4.511818471798212E11
-6.87217165190161E11	4.1694751378540393E11
-7.08872241653369E11	3.751201858179304E11
-7.324577260811095E11	3.38217396545704E11
-7.492576121817814E11	2.941173397886645E11
-7.680983971024601E11	2.550645906007283E11
-7.797955256303292E11	2.0931584620186728E11
-7.93919308936487E11	1.6848327768605023E11
-8.001150470670303E11	1.2193168675713824E11
-8.096043114094764E11	7.959046195203395E10
-8.101462706601937E11	3.3111274352986897E10
-8.149046151050369E11	-1.0488335825615538E10
-8.099023318977229E11	-5.598748965857341E10
-8.096978007456445E11	-1.0053434851545517E11
-7.995162480750106E11	-1.443540331915633E11
-7.9403945309576E11	-1.8930207270561914E11
-7.791423269095801E11	-2.309412482084793E11
-7.681026619445881E11	-2.7565872877027655E11
-7.49098815603965E11	-3.146119644896608E11
-7.322292950727017E11	-3.58388976291749E11
-7.096905023475043E11	-3.94455100185382E11
-6.869920948055035E11	-4.363364080291949E11
-6.613206956436995E11	-4.694924222942657E11
-6.32854382982085E11	-5.0845160556082166E11
-6.047421518501318E11	-5.388904783584089E11
-5.705039063871294E11	-5.735155022016326E11
-5.4019108181641675E11	-6.01944983947564E11
-5.0127349390644214E11	-6.307831189678435E11
-4.679590602274792E11	-6.573813317412909E11
-4.261360173933793E11	-6.798354659461285E11
-3.889255439452453E11	-7.040351255566426E11
-3.4591890442397107E11	-7.202521882365035E11
-3.0426592912489044E11	-7.408004023052872E11
-2.6142862039892892E11	-7.516768863632329E11
-2.1553699092230753E11	-7.668785943624446E11
-1.731523257275043E11	-7.736244116492848E11
-1.243252340723835E11	-7.819727854074044E11
-8.194190792432164E10	-7.854010979307377E11
-3.2044206294970257E10	-7.860493946338684E11
1.1133707777445774E10	-7.86242751197891E11
6.009052555476692E10	-7.793374349189739E11
1.0456715604011153E11	-7.754827796887384E11
1.5094618100012994E11	-7.61986179245926E11
1.967533621581588E11	-7.529149991483678E11
2.3954292465538913E11	-7.342568204607727E11
2.8579754800077734E11	-7.186439565083595E11
3.2503248379790906E11	-6.962703024856566E11
3.6999421919378894E11	-6.73292547140305E11
4.063326419348056E11	-6.480030663620948E11
4.4789608192780194E11	-6.177447891759281E11
4.8208851699955804E11	-5.895807459130027E11
5.1836735435165027E11	-5.530894909267263E11
5.507174663960377E11	-5.213766948003723E11
5.804983792053055E11	-4.8039901036854047E11
6.105138427860405E11	-4.4429517883478064E11
6.337016706827742E11	-4.005938682047305E11
