Io X	Io Y
-1.1110433035430531E11	7.62898879448212E11
-1.5760131916275754E11	7.570438394811556E11
-2.0381870941391696E11	7.485478097514153E11
-2.4962709998120203E11	7.37295098007697E11
-2.946933633038814E11	7.229981653483334E11
-3.384049313470832E11	7.058600369045421E11
-3.805940323148363E11	6.86180517386459E11
-4.211258819273395E11	6.64299297013034E11
-4.603644179070117E11	6.40439625888277E11
-4.983262291143165E11	6.143619708282838E11
-5.348762839808212E11	5.860251310345244E11
-5.696207979686145E11	5.552773156542073E11
-6.020710558051257E11	5.2251468461393634E11
-6.321801528198542E11	4.881054637125206E11
-6.600030441914805E11	4.523794051223548E11
-6.858740135134502E11	4.1542782397038354E11
-7.098192507261118E11	3.77003716286337E11
-7.315950235336991E11	3.370464445198223E11
-7.508972895363853E11	2.9562458992684393E11
-7.673566268781216E11	2.5319729793289148E11
-7.811366264658905E11	2.1023586546450137E11
-7.923518031499485E11	1.6692831881023874E11
-8.013438867239338E11	1.2330011702451228E11
-8.080337574563916E11	7.902438707472697E10
-8.121983397267095E11	3.417570443831781E10
-8.135632607642974E11	-1.1098635452407995E10
-8.119696704089099E11	-5.6230310381278404E10
-8.077072356926488E11	-1.008559916123287E11
-8.010074590700227E11	-1.448358411383625E11
-7.921388682668004E11	-1.882768802514369E11
-7.80957832327323E11	-2.3143537028345972E11
-7.67183595844877E11	-2.7418355987374146E11
-7.506814595540836E11	-3.162439139906137E11
-7.314617497311025E11	-3.5712200859828375E11
-7.099681597657343E11	-3.964897655337669E11
-6.864926403095868E11	-4.3440504159987177E11
-6.611831628373735E11	-4.709544935077176E11
-6.338609697679878E11	-5.0637444169667206E11
-6.042328247280627E11	-5.4039089880745087E11
-5.723314110764352E11	-5.727271210624423E11
-5.3830790393926654E11	-6.029288647307612E11
-5.0274595773212524E11	-6.308620212337675E11
-4.658592592976673E11	-6.56651860207338E11
-4.277734447990762E11	-6.804516142912277E11
-3.8824306598250464E11	-7.023878223849727E11
-3.47094365927618E11	-7.221245057464613E11
-3.044686434961382E11	-7.393331722612571E11
-2.6066973828153256E11	-7.53720636005302E11
-2.162735721682667E11	-7.652939725170112E11
-1.714655528231705E11	-7.743736481462582E11
-1.2628580647622356E11	-7.810426399380625E11
-8.056012505279955E10	-7.853975137231318E11
-3.416250077463315E10	-7.869717915135398E11
1.255595305591299E10	-7.855403275960145E11
5.928294593080301E10	-7.809691681883431E11
1.0542879881333188E11	-7.734383584935782E11
1.509474613969262E11	-7.633722804643065E11
1.9582543855673093E11	-7.508393169747284E11
2.4021527091341248E11	-7.358808908135227E11
2.840690872590782E11	-7.180246054739225E11
3.2693917918134247E11	-6.971849977143695E11
3.6849278572877594E11	-6.73375264009601E11
4.082460777728504E11	-6.469673205948151E11
4.4628537407512836E11	-6.184104830561713E11
