Sun X	Sun Y
-1.1455328100698242E9	-4.965432737615931E8
-1.1114431122331905E9	-5.366102284956949E8
-1.0753541747560105E9	-5.745066819072701E8
-1.0373812449194075E9	-6.099250715980675E8
-9.979688000461613E8	-6.427611935848598E8
-9.572411491741551E8	-6.732198287160343E8
-9.151405056799339E8	-7.012981136951964E8
-8.715329748687371E8	-7.267309919332587E8
-8.267651852707334E8	-7.490002605668666E8
-7.814614869488897E8	-7.680405497558097E8
-7.361680023352044E8	-7.841421769271208E8
-6.909113350875525E8	-7.978715993636494E8
-6.453861753720807E8	-8.092876443329401E8
-5.994630558190514E8	-8.181751855305046E8
-5.53371519056339E8	-8.241166101428007E8
-5.0763777274232E8	-8.271489834090213E8
-4.624993072940105E8	-8.274877263584468E8
-4.180234212932872E8	-8.253732360184143E8
-3.741441855823865E8	-8.207171175802835E8
-3.3118503359696203E8	-8.134169940658786E8
-2.8949211584509254E8	-8.036051747502868E8
-2.4933763179206127E8	-7.917210329268371E8
-2.1043977904494083E8	-7.78137044666767E8
-1.7254440486713335E8	-7.627518482564343E8
-1.35609620318645E8	-7.452144174284756E8
-1.0017636240846111E8	-7.252429861325272E8
-6.67719588474867E7	-7.031637203835946E8
-3.5612237118904665E7	-6.794855831381805E8
-6441696.857373256	-6.546612698979731E8
2.0966585920690764E7	-6.28609136223763E8
4.654480822950562E7	-6.012585495653533E8
7.003305707073437E7	-5.726220639911685E8
9.131072713524108E7	-5.431050271816683E8
1.1060464626196128E8	-5.128579434805549E8
1.2802886888603303E8	-4.818325647221584E8
1.4345692823271024E8	-4.497714304220851E8
1.5637484159647098E8	-4.168158007077302E8
1.6657630144193512E8	-3.8346629939789236E8
1.7420493549232754E8	-3.503128535094381E8
1.7982384641890377E8	-3.175190591029972E8
1.836483725632232E8	-2.848220880512254E8
1.8558764306739688E8	-2.5195518233989984E8
1.85194302949666E8	-2.1897014950126088E8
1.8236930830430648E8	-1.863154136201512E8
1.7723614393534622E8	-1.5428129812782362E8
1.700660101140314E8	-1.2298262719070542E8
1.6081806341813645E8	-9.229173320473088E7
1.493327022898641E8	-6.2436635777254075E7
1.356151718660553E8	-3.376412184039351E7
1.2004528193887667E8	-6661923.945773658
1.0308273746784404E8	1.905140947071674E7
8.477554621900631E7	4.367791778366703E7
6.48050743517467E7	6.744152226720391E7
4.275151435080372E7	8.993411053124233E7
1.875543079064815E7	1.1060780816361295E8
-6762895.17745811	1.2910153592249194E8
-3.3288050951024663E7	1.455505316275264E8
-6.0803955437388875E7	1.6019440016844848E8
-8.938406273446894E7	1.7303887411069044E8
-1.1908967559252787E8	1.8383508529943964E8
-1.495669304432798E8	1.92386359732202E8
-1.8060445218427762E8	1.9883566196538615E8
-2.1215571900418904E8	2.033355609873684E8
-2.444961584305869E8	2.0586443190939885E8
-2.776166992556288E8	2.0592764402552956E8
-3.11121666597098E8	2.0318051202302805E8
-3.443521289131926E8	1.9757047517080766E8
-3.769338524087872E8	1.8960287618029854E8
-4.0897293374194366E8	1.7961753108322847E8
-4.4075400339721996E8	1.6768483026330495E8
-4.7234027562383896E8	1.5339106666603398E8
-5.033361531975153E8	1.365515682073942E8
-5.3337903768839747E8	1.172098288510956E8
-5.622537208270874E8	9.567180432060216E7
-5.900810024065182E8	7.197372819538638E7
-6.16685939436085E8	4.595807929622957E7
-6.417178563461518E8	1.7547321479867984E7
-6.646673384801182E8	-1.294354683132302E7
-6.855418742659563E8	-4.4980211889524944E7
-7.045915030214169E8	-7.832387589089444E7
-7.221361287410765E8	-1.1315742185800762E8
-7.379018981230009E8	-1.4990913173243323E8
-7.513597965295668E8	-1.8856204808708423E8
-7.620048344842236E8	-2.2875854613080323E8
-7.698156323776805E8	-2.698779128182094E8
-7.750024901619896E8	-3.117214945668293E8
-7.776555190817101E8	-3.5424036862656206E8
-7.775991986335082E8	-3.9748709023509693E8
-7.746065504527545E8	-4.411039659479859E8
-7.687671867569817E8	-4.8476891712503904E8
-7.602994187989844E8	-5.28263079812701E8
-7.493585763682977E8	-5.717928931755008E8
-7.355853175985541E8	-6.154259104059439E8
-7.186117591689149E8	-6.588784303678308E8
-6.982553285348464E8	-7.014635739738624E8
-6.749758419213268E8	-7.426173988241125E8
-6.492526783994257E8	-7.822624761785364E8
-6.213699428341937E8	-8.206465622910683E8
-5.910621985165054E8	-8.579214144133586E8
-5.581550194784976E8	-8.937816003440154E8
-5.2266974648872143E8	-9.278375053007189E8
-4.8497933901367897E8	-9.598009146869423E8
-4.452551702024236E8	-9.897808888143044E8
-4.034491035994322E8	-1.0176800430688808E9
-3.5948669155162716E8	-1.0432346352203724E9
-3.1364565022712064E8	-1.0659066878194537E9
-2.6653137760061404E8	-1.085597483601009E9
-2.185905738477602E8	-1.1025189743065026E9
-1.698622432438476E8	-1.1171300513782167E9
-1.1998749530998589E8	-1.129404513711865E9
-6.887788127405821E7	-1.1389885179588914E9
-1.6774900493949085E7	-1.1453742182321424E9
3.567833026240885E7	-1.1484720773618672E9
8.81574871369221E7	-1.1485150811281214E9
1.405330748478272E8	-1.1457394632535784E9
1.9290253550655186E8	-1.1401201978407614E9
2.450004830218093E8	-1.1314672267573948E9
2.964942079873068E8	-1.1198452711351385E9
3.470816161945992E8	-1.10553755365701E9
3.969407252951771E8	-1.0888700846176758E9
4.462584132352761E8	-1.0696619639789276E9
4.9495891917820626E8	-1.0475730117248713E9
5.424619908528503E8	-1.0223006553102937E9
5.88147768601417E8	-9.942087790363885E8
6.318210743192841E8	-9.638167102797439E8
6.73699998495281E8	-9.315779024012645E8
7.140639893510507E8	-8.973712906968533E8
7.527805446681986E8	-8.610326995173708E8
7.89546881817984E8	-8.225081449440101E8
8.240740041952114E8	-7.821376813017167E8
8.564852456979798E8	-7.401408557812555E8
8.867974689354174E8	-6.965207036304384E8
9.14899323154252E8	-6.511336938229028E8
9.402958683453391E8	-6.040962967772071E8
9.627873514099108E8	-5.559199551423354E8
9.824888141463419E8	-5.0711806344781417E8
9.999069102649184E8	-4.5786772529957825E8
1.0152133228689377E9	-4.078419992499088E8
1.0282114596894004E9	-3.567913415463491E8
1.0383716321574887E9	-3.047545005095616E8
1.045472477363088E9	-2.5228696875685546E8
1.0496526290136062E9	-1.9975856239723614E8
1.0511815786654681E9	-1.4735915547971168E8
1.0501028745556667E9	-9.494018882879898E7
1.0462036362772229E9	-4.2672927792343654E7
1.0394584766499174E9	9137017.508435871
1.0300995576605076E9	6.0115596188223265E7
1.0185258868649619E9	1.1037157643248719E8
1.0046863019330158E9	1.6015335344173005E8
9.882636036777519E8	2.0956658760515893E8
9.688181968862439E8	2.5817346738797987E8
9.465175896699715E8	3.0534225065994924E8
9.21789664297957E8	3.5073234850865287E8
8.951566042910728E8	3.944454014637144E8
8.666112358615103E8	4.367929022203705E8
8.359856987361022E8	4.777627276239325E8
8.03115616642675E8	5.1710524222402555E8
7.682395297535192E8	5.544747260207859E8
7.315838755672264E8	5.89906038108148E8
6.932133980652527E8	6.23432136731105E8
6.529415348373208E8	6.550307438670928E8
6.107370206256341E8	6.842039926318517E8
5.669985942039092E8	7.106076264467102E8
5.222901800212985E8	7.341581064218743E8
4.7697603866510564E8	7.553028296137481E8
4.3085132039233506E8	7.743305451006112E8
3.8361521745759654E8	7.911849535679026E8
3.3516069300615627E8	8.053472217982352E8
2.859562501924727E8	8.164740577910621E8
2.36424807675295E8	8.245753651000624E8
1.8685715733029678E8	8.299036814485321E8
1.3713464432934597E8	8.32550102440038E8
8.738159842985572E7	8.323033115669096E8
3.78870426503148E7	8.290517931723992E8
-1.088955206476037E7	8.229402826054296E8
-5.891316200060944E7	8.143905214022745E8
-1.063836165684419E8	8.034859009310836E8
-1.535059281615682E8	7.899952720392299E8
-1.9996854987116605E8	7.734086251207954E8
-2.4513701573732945E8	7.537128020253444E8
-2.8848709684312785E8	7.312179962745371E8
-3.2991537090297896E8	7.065255357574509E8
-3.6967405127462196E8	6.797954696882904E8
-4.0781520319570196E8	6.50962799648E8
-4.4414765031864834E8	6.198409924874041E8
-4.7826853232706064E8	5.866270151550621E8
-5.101141941227452E8	5.516154430114182E8
-5.397226321301155E8	5.150054007352493E8
-5.671697928057331E8	4.766666641481147E8
-5.920270981976779E8	4.3650480864351714E8
-6.13876035995556E8	3.948301246648547E8
-6.324714700862943E8	3.522566959905718E8
-6.481846510250437E8	3.093475298177364E8
-6.614078465944835E8	2.660947057289605E8
