Triton X	Triton Y
4.4638842740253955E12	-2.5910440273987668E11
4.464951040690057E12	-2.3950341547054352E11
4.465867198308026E12	-2.1995278682782483E11
4.466625181621595E12	-2.004269313872795E11
4.467233231731507E12	-1.8089493805102417E11
4.4677131810124375E12	-1.613265667910301E11
4.468096650857898E12	-1.416979953227028E11
4.468419336304456E12	-1.219973667856042E11
4.468713013021441E12	-1.0222922306561917E11
4.46899635303262E12	-8.241556990358685E10
4.469267981633577E12	-6.2591239337864426E10
4.469505948535573E12	-4.279383933281676E10
4.469674752218226E12	-2.3052425859867607E10
4.469736383720208E12	-3.3800540199977584E9
4.469660239848094E12	1.6227654239214552E10
4.469429077599961E12	3.578937744882113E10
4.469041146767054E12	5.533293647641126E10
4.46850977184609E12	7.488965202849113E10
4.467861119810373E12	9.448849179263246E10
4.467129872683657E12	1.141498628365728E11
4.466352108249351E12	1.338796361599585E11
4.465555740276166E12	1.536654980017704E11
4.464751349281887E12	1.7347854839935922E11
4.463928017669485E12	1.9328126209825064E11
4.463056952964569E12	2.130388963740763E11
4.462100961048167E12	2.3272904896561163E11
4.461024876933068E12	2.5234593148970358E11
4.459803247764623E12	2.7189960769018683E11
4.458424461476271E12	2.914123425518868E11
4.45689218343531E12	3.109137811027428E11
4.455224866259716E12	3.304354597392465E11
4.453453139779266E12	3.500044620369898E11
4.451614156411909E12	3.6963645307686523E11
4.449742521917113E12	3.893298331640781E11
4.447859786111572E12	4.0906419947614087E11
4.445967064083346E12	4.288054807000821E11
4.444044905240473E12	4.485163365701789E11
4.442060277453556E12	4.681669420649356E11
4.439976552535397E12	4.8774176006234814E11
4.437762266402373E12	5.072412781694212E11
4.435396934918206E12	5.2668021633278064E11
4.432874253307298E12	5.4608393473180505E11
4.430203381521467E12	5.654837486518544E11
4.427408234058461E12	5.849109707745098E11
4.424523739115549E12	6.043895768839972E11
4.42158806001958E12	6.239287356346807E11
4.418631740422326E12	6.435183289179984E11
4.415667835755917E12	6.631307987540657E11
4.412688034969963E12	6.827295450343557E11
4.409666463630726E12	7.022799247057058E11
4.406568282216022E12	7.21757939558884E11
4.403358756262021E12	7.411543758227605E11
4.400010296299549E12	7.604750705247767E11
4.396507182836473E12	7.797388630418784E11
4.39284852030035E12	7.989740879305033E11
4.389049451209732E12	8.182134844656278E11
4.38513960236016E12	8.374871297402776E11
4.381157261039486E12	8.568140489263091E11
4.377139182545558E12	8.761952593281525E11
4.373109185808983E12	8.956121848538511E11
4.369070894607244E12	9.150322494516907E11
4.365007964016814E12	9.344190473519562E11
4.3608904602535757E12	9.537421692766918E11
4.356683424509512E12	9.72983427499297E11
4.3523545548996084E12	9.921392081473314E11
4.3478800907079624E12	1.0112201604153804E12
4.3432491962009106E12	1.0302491479710723E12
4.3384669674685625E12	1.0492574266854508E12
4.3335551452393296E12	1.0682784410177288E12
4.3285487182500215E12	1.087339283123397E12
4.3234873200041113E12	1.1064519459142354E12
4.3184033785619087E12	1.1256084876914734E12
4.313312168789228E12	1.1447832876116765E12
4.308208404803809E12	1.1639414107472922E12
4.3030697621253325E12	1.1830486727185125E12
4.2978641431509536E12	1.20207943385261E12
4.2925573469002573E12	1.2210208837453125E12
4.2871196440285894E12	1.2398745231870403E12
4.281531238747905E12	1.2586557392881812E12
4.2757867945927925E12	1.277391542380122E12
4.2698982990064346E12	1.2961157321522012E12
4.263894337760903E12	1.314860967359558E12
4.2578138424821235E12	1.3336490650977742E12
4.2516949150654907E12	1.3524834042673623E12
4.2455631404430664E12	1.3713476298867961E12
4.239424835458578E12	1.3902113995095376E12
4.2332673310931846E12	1.4090397457498428E12
4.22706424535895E12	1.4278017657236667E12
4.2207824693887617E12	1.446476510977093E12
4.2143888983540137E12	1.4650561704915725E12
4.2078565339459624E12	1.4835473062797192E12
4.201170138113861E12	1.5019703097136077E12
4.1943309557485483E12	1.5203563144323958E12
4.187358660471789E12	1.538740564092872E12
4.1802879820411587E12	1.5571526658907212E12
4.1731592490753926E12	1.575606977269274E12
4.1660060777763325E12	1.5940978867460183E12
4.1588458911938647E12	1.6126023713641987E12
4.151676878173873E12	1.6310877646523677E12
4.144480744093756E12	1.6495205675556865E12
4.1372283828641416E12	1.667873466793325E12
4.129886204724694E12	1.686129984602339E12
4.1224223897584478E12	1.7042872799882988E12
4.114813194801761E12	1.7223573440068755E12
4.1070490917909365E12	1.7403658792470903E12
4.09913914869886E12	1.7583475198946912E12
4.091110789747828E12	1.7763369327312224E12
4.0830029249674937E12	1.7943581131275146E12
4.074854188223436E12	1.8124166981039697E12
4.0666916083058696E12	1.830499065307716E12
4.058524474295604E12	1.848577748131511E12
4.0503442529582085E12	1.866619563137332E12
4.0421284141387217E12	1.8845931671497185E12
4.0338458177201475E12	1.9024748124663604E12
4.0254626146955537E12	1.9202524943102395E12
4.0169486878709893E12	1.93792876511964E12
4.0082846563024927E12	1.9555216295382886E12
3.999468246605566E12	1.9730619927660535E12
3.990517145869386E12	1.9905864053383132E12
3.981465331325788E12	2.008126285572123E12
3.9723529756605625E12	2.0256980038827502E12
3.9632143362373345E12	2.0432985834390457E12
3.954069054088046E12	2.0609082133467324E12
3.9449191802539683E12	2.0784969299847153E12
3.935750770145252E12	2.096032058831117E12
3.926537858302172E12	2.1134846134686753E12
3.917247528837952E12	2.1308344614734436E12
3.907845967660795E12	2.148074510205139E12
3.8983057252707515E12	2.165213496286697E12
3.888613470485481E12	2.1822758319493213E12
3.8787756134066484E12	2.1992966218051807E12
3.868818138560425E12	2.2163118221847217E12
3.858779132297534E12	2.2333470468549756E12
3.84869703972568E12	2.2504102562124297E12
3.838600177386921E12	2.2674910851368364E12
3.8285010766159707E12	2.284565430121004E12
3.818395649267205E12	2.3016021135441523E12
3.808265386163941E12	2.3185694001293184E12
3.7980811815818774E12	2.3354407701020034E12
3.787808512907998E12	2.352200123096085E12
3.7774143481168555E12	2.3688461862606445E12
3.766875569141067E12	2.3853947133230503E12
3.7561867961997354E12	2.4018761798414604E12
3.745363693710403E12	2.418327787496793E12
3.7344388199979507E12	2.4347820601581655E12
3.723451374308931E12	2.4512572004122627E12
3.712435886298292E12	2.4677532465433726E12
3.7014143382601177E12	2.4842540952965044E12
3.690392914987248E12	2.5007327767126226E12
3.6793622023938794E12	2.517157539219381E12
3.6682994467895107E12	2.5334977670245293E12
3.6571724534779814E12	2.5497297722358193E12
3.6459455702640674E12	2.5658424182121626E12
3.6345880285763647E12	2.5818414215340303E12
3.6230832126472275E12	2.5977498786583315E12
3.611435081572633E12	2.613602836521684E12
3.59966772063763E12	2.629436763132375E12
3.58781756476941E12	2.6452784786120757E12
3.5759223221738755E12	2.661138457660995E12
3.56401155481974E12	2.677010044404397E12
3.5521012410618994E12	2.692872832556935E12
3.5401919142139336E12	2.7086977932375063E12
3.528269159558477E12	2.7244528575719116E12
3.516305929836124E12	2.740108825349755E12
3.504267126787759E12	2.7556457096315317E12
3.4921171358976177E12	2.7710587153018506E12
3.479829670035924E12	2.786361488848059E12
3.46739666405445E12	2.8015837247719443E12
3.454831551258881E12	2.816762505661082E12
3.4421647173079126E12	2.831930856997636E12
3.4294337098233164E12	2.847108788359037E12
3.4166731163065547E12	2.86229971223863E12
3.4039073703591714E12	2.8774915795934907E12
3.39114694299302E12	2.892660592323648E12
3.378387019556221E12	2.907775993697756E12
3.365608058705468E12	2.922805617434321E12
3.3527786212857417E12	2.9377224120886084E12
3.339861464586866E12	2.9525115358939873E12
3.3268230585041294E12	2.9671759767627007E12
3.3136440876577354E12	2.9817373721106226E12
3.3003261206239814E12	2.996230028925344E12
3.2868907415854194E12	3.0106901929153643E12
3.273371991178268E12	3.025145646362833E12
3.2598064663495474E12	3.039609603803396E12
3.246224970795395E12	3.054079444668187E12
3.2326470403546797E12	3.068538660994175E12
3.219077887743555E12	3.082960456396278E12
3.205507172265104E12	3.09731249218603E12
3.1919098777922505E12	3.1115630481715923E12
3.1782504746872773E12	3.125688592263021E12
3.1644912579486934E12	3.1396812117074863E12
3.1506034557903623E12	3.153552520446058E12
3.1365766376899175E12	3.1673309085618657E12
3.1224216195546714E12	3.1810525522945044E12
3.10816588194317E12	3.1947505361884546E12
3.093844817051743E12	3.2084467405920747E12
3.0794929449227754E12	3.22214822505532E12
3.0651372039199873E12	3.235847203387279E12
3.05079239213106E12	3.249523142655726E12
3.036458256926289E12	3.2631463298211763E12
3.0221183882569907E12	3.2766831679527505E12
3.0077421367836963E12	3.2901035558104375E12
2.9932910507132114E12	3.3033894214687407E12
2.97872955034532E12	3.316541305212546E12
2.9640361647045283E12	3.329579075804561E12
2.9492099437098184E12	3.3425355441231787E12
2.934269325870603E12	3.355446136178968E12
2.9192453711976523E12	3.368339487060261E12
2.904173324069375E12	3.381231742404348E12
2.8890852171648594E12	3.394124516493679E12
2.874004163451749E12	3.4070052995737544E12
2.858940006869512E12	3.419849564011777E12
2.843886359964859E12	3.4326247767597295E12
2.8288201683603926E12	3.4452969587846646E12
2.8137057121660913E12	3.45783953056728E12
2.7985038648844653E12	3.470241916524375E12
2.7831840815750347E12	3.482513633394124E12
2.767733713755905E12	3.4946811223962173E12
2.7521604750646494E12	3.5067789606485737E12
2.736488331168128E12	3.518840013367044E12
2.7207501803606206E12	3.530888116777476E12
2.7049803932417896E12	3.5429341474101753E12
2.689208408179414E12	3.5549746804058315E12
2.6734532970013867E12	3.5669924710132656E12
2.6577192242121504E12	3.5789588777843433E12
2.6419927527332876E12	3.590839059452327E12
2.6262441079904185E12	3.602600333795137E12
2.61043418924717E12	3.6142219736059946E12
2.594526170260262E12	3.6257022525836436E12
2.578496832658644E12	3.6370588029797446E12
2.562342435681709E12	3.648322218202829E12
2.5460776990929443E12	3.6595266750737734E12
2.529730292271239E12	3.6707016213597764E12
2.513333954549156E12	3.6818662512014185E12
2.496921911641144E12	3.693026498683487E12
2.48052079492313E12	3.7041738594211924E12
2.4641449217712705E12	3.7152860542744414E12
2.447791627884587E12	3.726330452545051E12
2.431439745012773E12	3.7372712096371255E12
2.4150537571288706E12	3.7480793296598574E12
2.3985939221989385E12	3.7587419770717676E12
2.382028544851118E12	3.76926632851154E12
2.3653427280315474E12	3.779676200505722E12
2.348540603002878E12	3.790004028536526E12
2.3316421716804375E12	3.800282289976961E12
2.314677619964206E12	3.810536826991321E12
2.2976810966225674E12	3.820782397342301E12
2.280684475068641E12	3.831019932133542E12
2.2637109417132324E12	3.841235415557945E12
2.246768800341949E12	3.851401285470969E12
2.229847364502394E12	3.8614817433171084E12
2.2129179271624224E12	3.8714421517186514E12
2.1959414636648594E12	3.881259712133092E12
2.1788806737929622E12	3.890930444085937E12
2.1617108112090908E12	3.9004691891521406E12
2.144425011673072E12	3.909903723912486E12
2.127033833057559E12	3.9192666929288623E12
2.1095612871380842E12	3.9285883331229907E12
2.0920395030352693E12	3.937890926556188E12
2.0745028327413418E12	3.9471847141192876E12
2.0569812808751023E12	3.956465111214159E12
2.0394933441444849E12	3.9657120151194927E12
2.0220397443630417E12	3.974892859214525E12
2.0046011813591736E12	3.9839704939698433E12
1.9871429166631123E12	3.992914211180991E12
1.9696254375113752E12	4.001709183786068E12
1.952016352319598E12	4.0103598773293286E12
1.9342983727996765E12	4.018886887950937E12
1.9164716581756858E12	4.027320133937249E12
1.898551955397844E12	4.0356916034151113E12
1.8805666068241562E12	4.044029151298453E12
1.8625494741166816E12	4.052351395427327E12
1.844534745871028E12	4.0606635197848E12
1.826549441621601E12	4.06895459693382E12
1.808605591961221E12	4.077198170129407E12
1.79069504177888E12	4.0853579234080073E12
1.7727905175338887E12	4.093398011869812E12
1.7548538990380442E12	4.101294059895745E12
1.736848057077354E12	4.1090396848194917E12
1.7187467855811807E12	4.1166464049382837E12
1.7005398019025837E12	4.1241387422839097E12
1.6822332114293494E12	4.1315476309132417E12
1.6638472175688054E12	4.13890406376205E12
1.645412275002674E12	4.1462333792825747E12
1.626963772128125E12	4.153550012816473E12
1.6085348405427058E12	4.1608531067381855E12
1.5901477101032139E12	4.1681246286456377E12
1.5718060954436755E12	4.1753323542663066E12
1.5534926869326287E12	4.182438541504164E12
1.535174247126375E12	4.189411436960178E12
1.5168122619478325E12	4.1962343152586426E12
1.4983739212053364E12	4.2029085179408257E12
1.479839378524797E12	4.209450961132519E12
1.4612045577978813E12	4.2158888015293433E12
1.4424807899099446E12	4.2222534624006553E12
1.4236925103882632E12	4.2285747688235703E12
1.40487323555019E12	4.234875086239255E12
1.386059275855786E12	4.241163627516049E12
1.367281047073149E12	4.247432332680853E12
1.3485537835555137E12	4.2536559453528643E12
1.3298717313507197E12	4.25979823692092E12
1.3112095923536033E12	4.2658229250764585E12
1.2925309648064238E12	4.2717043857688096E12
