Pluto X	Pluto Y
1.6131627037115796E12	-4.740134772533958E12
1.6320983074226628E12	-4.737892673559062E12
1.651006829025431E12	-4.735592148605121E12
1.6698975473820552E12	-4.733220553183764E12
1.6887607725109143E12	-4.730790902585822E12
1.707605790102637E12	-4.728290553708823E12
1.7264229092412446E12	-4.725732522363527E12
1.745221422457053E12	-4.723104166788305E12
1.763991637893263E12	-4.72041850328749E12
1.7827428549291997E12	-4.717662891398475E12
1.8014653807622478E12	-4.714850347895925E12
1.8201685216313662E12	-4.71196823358383E12
1.838842583779778E12	-4.709029565692226E12
1.8574968803118882E12	-4.706021706263021E12
1.8761217165061436E12	-4.70295767296906E12
1.8947264123348591E12	-4.699824829067381E12
1.9133012720973716E12	-4.696636192667108E12
1.93185562262719E12	-4.693379128221293E12
1.9503797672228242E12	-4.690066654265845E12
1.968883039567147E12	-4.686686136430688E12
1.9873557419301882E12	-4.683250593670764E12
2.0058072148222668E12	-4.679747392772734E12
2.0242277594478137E12	-4.676189553095676E12
2.0426267231160056E12	-4.672564442555963E12
2.0609944059228616E12	-4.668885080895235E12
2.079340161941143E12	-4.665138837128157E12
2.0976542901079653E12	-4.661338731345857E12
2.1159461512191836E12	-4.657472133617228E12
2.1342060430031309E12	-4.653552064339536E12
2.1524433329369312E12	-4.649565894585375E12
2.1706483174889036E12	-4.645526645005505E12
2.1888303707745723E12	-4.641421687615073E12
2.206979787956093E12	-4.637264043254843E12
2.225105949749767E12	-4.633041084818448E12
2.2431991499695776E12	-4.628765833269427E12
2.261268775898087E12	-4.62442566231136E12
2.279305119966121E12	-4.62003359295844E12
2.2973175759961646E12	-4.615576999656856E12
2.3152964350080776E12	-4.611068903402835E12
2.333251097342299E12	-4.606496679322278E12
2.351171852584769E12	-4.601873348324671E12
2.3690681075788325E12	-4.597186286158033E12
2.386930150460737E12	-4.592448513583618E12
2.4047673945637124E12	-4.587647406922371E12
2.422570126561502E12	-4.582795986730193E12
2.440347766266831E12	-4.577881629857055E12
2.4580905988839272E12	-4.57291735660394E12
2.475808050695482E12	-4.567890544316954E12
2.4934904054285933E12	-4.562814212997297E12
2.511147095825456E12	-4.55767574045867E12
2.528768404131436E12	-4.552488146362541E12
2.546363769538043E12	-4.547238808970252E12
2.563923472802125E12	-4.541940747568998E12
2.581456959551749E12	-4.536581340850465E12
2.5989545090484453E12	-4.531173607693934E12
2.616425573343907E12	-4.525704927210804E12
2.6338604301971475E12	-4.520188317843212E12
2.651268538064762E12	-4.514611159113486E12
2.668640173194625E12	-4.508986468996064E12
2.6859848004300063E12	-4.503301627417769E12
2.7032926944979287E12	-4.497569651858163E12
2.720573326605436E12	-4.491777922643938E12
2.7378169699471606E12	-4.485939456729754E12
2.7550331020702573E12	-4.480041634838073E12
2.7722119946250063E12	-4.474097473369894E12
2.7893631314720537E12	-4.468094353441558E12
2.806476782702948E12	-4.462045290869615E12
2.8235624384620283E12	-4.455937667159534E12
2.840610367270375E12	-4.449784497512964E12
2.8576300655232817E12	-4.443573163822201E12
2.8746118001574434E12	-4.437316680641668E12
2.891565073784333E12	-4.431002430245871E12
2.9084801517416016E12	-4.424643426507809E12
2.9253665428241006E12	-4.418227052081896E12
2.942214510753063E12	-4.411766320125736E12
2.959033570469397E12	-4.4052486136682E12
2.9758139840625522E12	-4.398686945114888E12
2.992565272582417E12	-4.392068697864824E12
3.009277696470662E12	-4.385406883535863E12
3.025960782846556E12	-4.378688885892113E12
3.0426047904869355E12	-4.371927715724637E12
3.0592192525418735E12	-4.3651107571569414E12
3.075794426107392E12	-4.3582510201163315E12
3.092339850323245E12	-4.3513358890798516E12
3.1088457805869014E12	-4.3443783730711567E12
3.1253217619875557E12	-4.337365856913536E12
3.1417580482086123E12	-4.3303113486881553E12
3.1581641902473433E12	-4.323202233558926E12
3.1745304400551143E12	-4.3160515186239907E12
3.190866354496312E12	-4.3088465893794966E12
3.2071621837746626E12	-4.301600451901155E12
3.2234274905805903E12	-4.2943004920105996E12
3.239652523353021E12	-4.286959714721227E12
3.255846850566413E12	-4.279565506170861E12
3.2720007188799043E12	-4.272130870269843E12
3.288123702512153E12	-4.2646431934649966E12
3.3042060463265283E12	-4.2571154785245273E12
3.320257330244527E12	-4.2495351121944634E12
3.3362677973194834E12	-4.2419150960608E12
3.352247033136847E12	-4.234242817159782E12
3.3681852789265205E12	-4.2265312758574116E12
3.3840921258975576E12	-4.2187678594704062E12
3.399957813443892E12	-4.210965567105206E12
3.415791938361485E12	-4.203111786349124E12
3.4315847381977466E12	-4.195219515012832E12
3.447345815298922E12	-4.1872761409447065E12
3.4630654053556123E12	-4.179294660623036E12
3.4787531162304404E12	-4.1712624621466777E12
3.4943991817505454E12	-4.1631925406277495E12
3.510013215262854E12	-4.155072284407321E12
3.5255854487241743E12	-4.1469146871980547E12
3.5411255009366553E12	-4.1387071375738657E12
3.556623601984461E12	-4.130462627818165E12
3.572089376098616E12	-4.122168546731449E12
3.587513051489404E12	-4.113837885141603E12
3.6029042577921636E12	-4.1054580320692144E12
3.618253221344732E12	-4.097041976862795E12
3.633569577167535E12	-4.0885771087613477E12
3.6488435497279307E12	-4.0800764156154883E12
3.6640847794125977E12	-4.071527286882053E12
3.679283488822457E12	-4.062942708898878E12
3.694449323695068E12	-4.0543100713441934E12
3.7095725047695654E12	-4.045642359035478E12
3.7246626831176426E12	-4.036926961879259E12
3.739710077618497E12	-4.028176863167579E12
3.754724344663273E12	-4.0193794530455195E12
3.769695701270545E12	-4.010547713280878E12
3.7846338091327983E12	-4.001669034270332E12
3.799528883401827E12	-3.9927563962609517E12
3.8143905910501357E12	-3.9837971899137026E12
3.8292091453528726E12	-3.9748043939617314E12
3.843994218535492E12	-3.965765399344056E12
3.8587360219779585E12	-3.956693183285566E12
3.8734442331261133E12	-3.947575137012444E12
3.888109061441076E12	-3.9384242362451436E12
3.9027401895518706E12	-3.929227872502898E12
3.917327824969535E12	-3.9199990200021787E12
3.931881655463873E12	-3.9107250705528345E12
3.946391886561362E12	-3.9014189968619375E12
3.960868211129703E12	-3.8920681910224893E12
3.975300832672609E12	-3.8826856242223037E12
3.989699449110819E12	-3.873258688821892E12
4.0040542618871104E12	-3.863800354473515E12
4.0183749739342383E12	-3.854298013783906E12
4.032651784597979E12	-3.844764634851976E12
4.046894401784242E12	-3.835187610504855E12
4.061093022708378E12	-3.825579907266653E12
4.075257360217176E12	-3.815928918156692E12
4.089377609367515E12	-3.806247608104468E12
4.1034634879190107E12	-3.796523370293685E12
4.1175051887444736E12	-3.7867691680398027E12
4.1315124344948374E12	-3.776972394662546E12
4.1454754158391777E12	-3.7671460118483955E12
4.1594038603030312E12	-3.7572774130286274E12
4.1732879563331133E12	-3.7473795582487153E12
4.187137436317795E12	-3.73743984102886E12
4.200942486466307E12	-3.7274712197658267E12
4.214712844022078E12	-3.717461088051021E12
4.228438692942118E12	-3.7074224026297744E12
4.2421297753173696E12	-3.697342557147853E12
4.255776272840611E12	-3.6872345066996865E12
4.269387932445294E12	-3.6770856449727603E12
4.2829549335476177E12	-3.6669089254156685E12
4.2964870279177095E12	-3.656691741746605E12
4.3099743926819375E12	-3.646447045774622E12
4.3234267844438257E12	-3.6361622312399966E12
4.3368343780257383E12	-3.6258502483225986E12
4.350206934858919E12	-3.615498490776979E12
4.363534627446092E12	-3.6051199071642344E12
4.3768272220413643E12	-3.594701891245965E12
4.3900748888116255E12	-3.5842573899771445E12
4.403287398828027E12	-3.573773797120921E12
4.416454919902032E12	-3.563264058038172E12
4.42958722791612E12	-3.5527155664870376E12
4.442674488306534E12	-3.542141266247703E12
4.455726481760428E12	-3.5315285510679785E12
4.468733371316193E12	-3.520890363160167E12
4.481704942457581E12	-3.510214096254717E12
4.494631355802873E12	-3.499512691008345E12
4.507522401624527E12	-3.4887735411287217E12
4.520368238096165E12	-3.4780095857294165E12
4.533178660268511E12	-3.467208218487833E12
4.545943823846539E12	-3.4563823769857485E12
4.558673528649107E12	-3.4455194548634565E12
4.571357927887E12	-3.43463238818258E12
4.584006826135592E12	-3.423708570538783E12
4.596610374083854E12	-3.4127609364822837E12
4.609178381054424E12	-3.4017768795570737E12
4.621700995186869E12	-3.390769332811713E12
4.634188030538344E12	-3.379725689730823E12
4.646629632671141E12	-3.3686588818690005E12
4.659035620365294E12	-3.357556302643321E12
4.671396136577919E12	-3.346430882122082E12
4.683721004798793E12	-3.3352700136475425E12
4.696000365351396E12	-3.3240866258072954E12
4.708244046421273E12	-3.312868111860172E12
4.72044218567206E12	-3.3016273989187E12
4.732604615970242E12	-3.2903518801508496E12
4.744721472292011E12	-3.2790544811984385E12
4.756802592169544E12	-3.2677225951299883E12
4.768838107865236E12	-3.2563691461194175E12
4.780837861562388E12	-3.244981527128928E12
4.792791982782511E12	-3.23357266086661E12
4.804710318344167E12	-3.2221299401804243E12
4.816582995002034E12	-3.210666286312708E12
4.828419864195938E12	-3.1991690919904746E12
4.84021104988823E12	-3.1876512769905645E12
4.851966408123547E12	-3.176100233911937E12
4.863676060047835E12	-3.1645288810634185E12
4.875349866296351E12	-3.1529246109097236E12
4.886977945175208E12	-3.14130034028904E12
4.898570161895523E12	-3.1296434615262026E12
4.910116631900667E12	-3.117966889983749E12
4.921627224964915E12	-3.106258017841019E12
4.93309205364906E12	-3.094529758980111E12
4.944520992276465E12	-3.0827695054305684E12
4.95590415050746E12	-3.070990169587356E12
4.967251407201426E12	-3.059179143325692E12
4.978552869103673E12	-3.047349337546309E12
4.98981841959889E12	-3.035488143967943E12
5.001038162502958E12	-3.023608471989171E12
5.012221985716731E12	-3.011697713170132E12
5.02335999011682E12	-2.999768775398924E12
5.034462068113073E12	-2.9878090500781577E12
5.045518317635044E12	-2.975831443577664E12
5.056538635595207E12	-2.963823347144721E12
5.067513116971485E12	-2.9517976656227065E12
5.078451663176046E12	-2.9397417901091265E12
5.089344366233647E12	-2.927668623915359E12
5.100201132051823E12	-2.9155655579970156E12
5.111012049704008E12	-2.9034454941284634E12
5.121787029590236E12	-2.891295823135106E12
5.132516157837352E12	-2.879129445252654E12
5.143209349331969E12	-2.866933751191571E12
5.153856687259374E12	-2.8547216396483467E12
5.164468090987259E12	-2.842480501236939E12
5.175033640764112E12	-2.830223233117028E12
5.18556326043001E12	-2.817937225828728E12
5.19604702729746E12	-2.8056353749976553E12
5.206494869667554E12	-2.7933050711145967E12
5.216896861915595E12	-2.7809592082745977E12
5.227262936787443E12	-2.7685851769460903E12
5.237583165714076E12	-2.7561958696960835E12
5.247867485864773E12	-2.7437786769961416E12
5.258105965716582E12	-2.7313464898855234E12
5.268308546835867E12	-2.718886698864009E12
5.278465294731902E12	-2.7064121934405425E12
5.288586155336888E12	-2.693910364164921E12
5.298661191175742E12	-2.681394099007907E12
5.308700352513513E12	-2.6688507885883013E12
5.318693698874052E12	-2.656293319327781E12
5.328651184818272E12	-2.6437090819287183E12
5.338562866852545E12	-2.631110961247259E12
5.3484387037994375E12	-2.618486348081304E12
5.3582687491333E12	-2.605848125702291E12
5.368062965904501E12	-2.5931836850136855E12
5.377811404543156E12	-2.5805059076794897E12
5.387524032297121E12	-2.5678021847167935E12
5.397190896545081E12	-2.55508539615925E12
5.406821968704075E12	-2.5423429331459214E12
5.416407293096999E12	-2.529587674056148E12
5.425956845285458E12	-2.51680701015914E12
5.435460666537508E12	-2.504013818156983E12
5.444928736537764E12	-2.4911954894598467E12
5.454351093502362E12	-2.4783648990709966E12
5.463737721219102E12	-2.4655094385527754E12
5.473078654859208E12	-2.4526419811897427E12
5.482383882296846E12	-2.4397499187105547E12
5.491643435665897E12	-2.426846122663486E12
5.500867306910931E12	-2.413917984958989E12
5.510045525137843E12	-2.400978375392296E12
5.519188086347804E12	-2.3880146860735186E12
5.528285016629291E12	-2.3750397850313447E12
5.537346316024481E12	-2.362041064594195E12
5.546362007615363E12	-2.3490313910114565E12
5.555342095471336E12	-2.3359981568497026E12
5.564276599678497E12	-2.3229542265684053E12
5.573175528318092E12	-2.3098869929932334E12
5.582028898491572E12	-2.296809318783821E12
5.590846722275558E12	-2.283708597045381E12
5.59961901379866E12	-2.270597688629825E12
5.608355789116155E12	-2.257463986943482E12
5.617047059393148E12	-2.244320351023E12
5.625702844645978E12	-2.2311541745961484E12
5.6343131530863545E12	-2.217978314877786E12
5.642888008674409E12	-2.2047801659385596E12
5.65141741667489E12	-2.191572583165167E12
5.659911404974667E12	-2.1783429609913406E12
