Halley's Comet X	Halley's Comet Y
-1.9999763534239504E12	3.6279369999962188E12
-1.9910493665827566E12	3.6199368659796055E12
-1.982078862016244E12	3.611857605357646E12
-1.973064670071978E12	3.6036987276640913E12
-1.9640066185175908E12	3.5954597345972695E12
-1.9549045324953987E12	3.5871401198587593E12
-1.945758234474482E12	3.578739368986516E12
-1.9365675442011143E12	3.570256959183082E12
-1.927332278646475E12	3.5616923591368003E12
-1.9180522519551794E12	3.553045028837109E12
-1.9087272753920347E12	3.5443144193874746E12
-1.8993571572843125E12	3.5354999728104653E12
-1.8899417029634636E12	3.52660112184497E12
-1.880480714705349E12	3.517617289738022E12
-1.870973991668832E12	3.508547890029211E12
-1.8614213298326897E12	3.4993923263302397E12
-1.8518225219275544E12	3.4901499920951895E12
-1.8421773573678945E12	3.4808202703803374E12
-1.832485622183915E12	3.4714025335995557E12
-1.8227470989487273E12	3.461896143271281E12
-1.8129615667037715E12	3.4523004497553965E12
-1.8031288008814814E12	3.4426147919811357E12
-1.793248573226454E12	3.432838497163429E12
-1.7833206517168232E12	3.422970880512466E12
-1.7733448004798462E12	3.413011244933794E12
-1.763320779705201E12	3.4029588807131206E12
-1.753248345559169E12	3.392813065191952E12
-1.7431272500954746E12	3.382573062432647E12
-1.7329572411645718E12	3.372238122871384E12
-1.7227380623193796E12	3.361807482959578E12
-1.7124694527184414E12	3.351280364788328E12
-1.7021511470313286E12	3.340655975701375E12
-1.6917828753404382E12	3.3299335078975396E12
-1.681364363039171E12	3.319112138015535E12
-1.6708953307305874E12	3.3081910267037656E12
-1.6603754941246714E12	3.297169318174971E12
-1.6498045639365234E12	3.2860461397461064E12
-1.6391822457818726E12	3.2748206013652925E12
-1.6285082400690361E12	3.26349179511779E12
-1.6177822418942322E12	3.2520587947144043E12
-1.6070039409366304E12	3.240520654966494E12
-1.5961730213515916E12	3.228876411242769E12
-1.5852891616632617E12	3.21712507890885E12
-1.574352034655169E12	3.2052656527463755E12
