Deimos X	Deimos Y
-2.356590085937063E11	-6.034545373480159E10
-1.9678565121943774E11	-1.3207125794299931E11
-1.3305919603383669E11	-1.8672589819157742E11
-5.0861804495922615E10	-2.1514423447403937E11
3.896662832834947E10	-2.099432816824333E11
1.2191306314952036E11	-1.687540115642395E11
1.8222685710749182E11	-9.622355943037643E10
2.077469590902779E11	-5.243248134078265E9
1.943028507925767E11	8.714491526816E10
1.465510481865864E11	1.6451182216177255E11
7.515211436020099E10	2.1595306410725137E11
-7.364697775157479E9	2.3642660510380582E11
-8.905802959436142E10	2.2625244155922345E11
-1.6024226286180133E11	1.8888022340617642E11
-2.132337305600787E11	1.3018785815784956E11
-2.4275693343220847E11	5.715207457374008E10
-2.4531932073704663E11	-2.204432109837726E10
-2.1988770039552524E11	-9.85223027586029E10
-1.676545399363648E11	-1.6272589767966803E11
-9.342466113967697E10	-2.050288143871714E11
-5.663135309455007E9	-2.1690286508426093E11
8.25864468504045E10	-1.9314064827306674E11
1.5580957276534198E11	-1.3479070803572188E11
1.9930852851115286E11	-5.079593668067187E10
2.047801800976654E11	4.304796691272207E10
1.72637454134873E11	1.294613037528184E11
1.1123308792773401E11	1.944096602330792E11
3.255959335058129E10	2.3018746748914374E11
-5.088219797476224E10	2.3455077099583154E11
-1.282482740049449E11	2.0980426021291116E11
-1.9087707308505948E11	1.605687055958418E11
-2.3234273570097144E11	9.354625011332674E10
-2.4829620943393875E11	1.6191819575166029E10
-2.364339584255628E11	-6.277992407022541E10
-1.9688387752853998E11	-1.3424935481580667E11
-1.3248155330120728E11	-1.8837429206974918E11
-4.9954627263528366E10	-2.160392106188337E11
3.995212003014621E10	-2.0994363620185562E11
1.2248320932121252E11	-1.6785447825561188E11
1.820594472135588E11	-9.472619067921379E10
2.065289489059637E11	-3.4907471631557207E9
1.921409657136797E11	8.858356151927765E10
1.4359767071361417E11	1.6532801339236572E11
7.180552748415147E10	2.1585994925075818E11
-1.0782404773529917E10	2.3545306135103076E11
-9.223848420808565E10	2.2435508852929306E11
-1.6295094752398376E11	1.8632359554027982E11
-2.152862609375629E11	1.2701836871134816E11
-2.4403531364073715E11	5.369349749036864E10
-2.4576692917160318E11	-2.5647161120849068E10
-2.1945772271978906E11	-1.0192780136256686E11
-1.66491240742228E11	-1.657450640829804E11
-9.162926300224712E10	-2.0729096708941418E11
-3.619800343906459E9	-2.1830168985385916E11
8.453157483335272E10	-1.935224390579681E11
1.571488358012445E11	-1.3434679228891017E11
1.997979657151399E11	-4.985956843427422E10
2.0420909859137204E11	4.3990060277131836E10
1.7126776004658633E11	1.2998675780649442E11
1.0924716022903658E11	1.94208807591716E11
3.0400314110873337E10	2.2914317490589127E11
-5.296463419093146E10	2.3269948800780563E11
-1.2990845060188579E11	2.07200608089996E11
-1.9199530324562518E11	1.5745691647989612E11
-2.3268059437221384E11	9.004721445060036E10
-2.4785388663250507E11	1.2603815413435589E10
-2.3512107270837592E11	-6.627856612318689E10
-1.9477134763257394E11	-1.3731841458831813E11
-1.2967997396167752E11	-1.908504882282871E11
-4.671072517153407E10	-2.1755160948902368E11
4.329140056500335E10	-2.104672953539441E11
1.2545609260522328E11	-1.6729269209456976E11
1.842351966351383E11	-9.342641721132326E10
2.076968713625975E11	-1.8213479528528957E9
1.9225767636604224E11	9.003296654957419E10
1.4297799748566943E11	1.6627631341471994E11
7.071927582686996E10	2.159907341608664E11
-1.1927036622777288E10	2.348089477068433E11
-9.321018891584918E10	2.2294845716482614E11
-1.6343494034671323E11	1.8432722831131525E11
-2.152205988832973E11	1.2460009929733755E11
-2.4318906856955084E11	5.109482240020075E10
-2.4420527030598026E11	-2.8211285225131943E10
-2.1710137424845068E11	-1.0418844189266829E11
-1.6351144182331998E11	-1.6742808775457654E11
-8.813572514997978E10	-2.0820053149583234E11
2238502.229674548	-2.1818199113534143E11
8.798795533043658E10	-1.923856364433107E11
1.5992089020505673E11	-1.3225825467085898E11
2.0161601438556226E11	-4.722726788191343E10
2.0491308431019577E11	4.676390801592583E10
1.710030427635806E11	1.3234427219917769E11
1.082922277920753E11	1.9596065697363632E11
2.913039605655995E10	2.3001901561419717E11
-5.4237501424257324E10	2.3281813073704413E11
-1.3091199129557477E11	2.0657057811462762E11
-1.9249406260480508E11	1.5632484505975894E11
-2.3258573984525052E11	8.85177766656137E10
-2.4700908939687964E11	1.1014729034165579E10
-2.3356897833347116E11	-6.778964902115203E10
-1.9250453633946423E11	-1.3839158113320624E11
-1.2690547780505885E11	-1.912842819241958E11
-4.360707722588015E10	-2.1708491385823227E11
4.625118175625787E10	-2.0900643730174152E11
1.2796342733156766E11	-1.648615597505539E11
1.8579464474752563E11	-9.032669068136124E10
2.081967562920956E11	1.5368722518303137E9
1.9164747544600415E11	9.319350082240329E10
1.415613279592425E11	1.6883210242871185E11
6.872514857327621E10	2.1779436021835724E11
-1.4060366759036844E10	2.3573091425761426E11
-9.528028815396222E10	2.2309923618495743E11
-1.6512706540908173E11	1.837757003476363E11
-2.163950235598019E11	1.2359228944628627E11
-2.4369408114783408E11	4.974172469414564E10
-2.439983548451397E11	-2.9551417956658703E10
