Europa X	Europa Y
-3.897095645574054E11	-7.013499031034106E11
-3.4767667949527954E11	-7.214902476719958E11
-3.0627787248397577E11	-7.390984858231854E11
-2.630226585960844E11	-7.525558688674087E11
-2.1769522523793954E11	-7.64744995408665E11
-1.731079906243154E11	-7.751179200411924E11
-1.2829605687476395E11	-7.811355489194282E11
-8.126162893193184E10	-7.846250279499229E11
-3.471093324595726E10	-7.869559751982089E11
1.0674740866618343E10	-7.853686489657544E11
5.766493179154656E10	-7.800807269708326E11
1.045219782594296E11	-7.739367290441489E11
1.4925822122337317E11	-7.642783974558146E11
1.9491089524541333E11	-7.504965279911785E11
2.402486004483658E11	-7.359639751263247E11
2.8282076363846375E11	-7.18074451459935E11
3.258141406137823E11	-6.961072638482612E11
3.6792932569237964E11	-6.735965409525757E11
4.067701470782895E11	-6.476912868240452E11
4.4566349768115094E11	-6.181189635049749E11
4.830543717711149E11	-5.881734185461973E11
5.167232603423189E11	-5.550990697465056E11
5.499250323802185E11	-5.186583687414833E11
5.81279787659782E11	-4.820936417918106E11
6.084653468705504E11	-4.4303375656362604E11
6.344525481425643E11	-4.007939292584523E11
6.586646533158809E11	-3.586121727181276E11
6.783815660156968E11	-3.15076041568017E11
6.957962199852249E11	-2.6852819084793518E11
7.118066355849325E11	-2.2195245501042987E11
7.234391420040543E11	-1.754172371394255E11
7.314666552651366E11	-1.265439030264624E11
7.382666103204658E11	-7.712947341469833E10
7.413253190685366E11	-2.9056719089086933E10
7.398732278720658E11	2.0251969339028458E10
7.369705545128108E11	7.039682821479625E10
7.310515580736243E11	1.183313841379671E11
7.202708960110214E11	1.6644448912534708E11
7.078758874337943E11	2.1519101964778494E11
6.929969815827426E11	2.6112349865060187E11
6.732621302283281E11	3.0636937768684064E11
6.520067852101411E11	3.5183212419651733E11
6.286622637969664E11	3.9395035949309375E11
6.007482521253513E11	4.346423345734256E11
5.714638472533362E11	4.7516103460098126E11
5.406362315137061E11	5.1190615532369586E11
5.056613536526744E11	5.46528434443646E11
4.6941963721595325E11	5.806406793265743E11
4.324217048682737E11	6.108422283387438E11
3.918805479760694E11	6.380726749933019E11
3.499572291935983E11	6.645567182670609E11
3.082208031123633E11	6.874092918324435E11
2.6385588368123434E11	7.063767907968092E11
2.178282571428823E11	7.241862168276959E11
1.727115374830843E11	7.391816869402849E11
1.2635358610446132E11	7.495395553670896E11
7.812223441086482E10	7.581175070744882E11
3.106423215299068E10	7.647172360245273E11
-1.5697946614204746E10	7.665523434641282E11
-6.424593469045906E10	7.659012777797877E11
-1.1152133639272104E11	7.638543766616603E11
-1.573205495116536E11	7.573331830904493E11
-2.0451034125846912E11	7.4786098317417E11
-2.5026061010480377E11	7.374051007876641E11
-2.937470049732992E11	7.228548155440159E11
-3.3809554621623663E11	7.051830072011133E11
-3.808353947801367E11	6.868688866913884E11
-4.2066096226996497E11	6.648917843808033E11
-4.608702896428248E11	6.398375264034899E11
-4.993100302009695E11	6.144403797694652E11
-5.343317434297424E11	5.859687410091962E11
-5.691772787744193E11	5.544198526467207E11
-6.02313122202698E11	5.2282704771105316E11
-6.315977403198414E11	4.8900370112031006E11
-6.599763687933302E11	4.520636605989061E11
-6.869847518292618E11	4.1519845804114874E11
-7.099467589950471E11	3.772633212941238E11
-7.309387581521643E11	3.3628761580487445E11
-7.510383601879869E11	2.951491605362004E11
-7.673337891132834E11	2.541757265596762E11
-7.804931959738123E11	2.1071918906026062E11
-7.929525347273217E11	1.6652245249480527E11
-8.021958135282172E11	1.2352121394955405E11
-8.075258365977855E11	7.89059714769042E10
-8.11955591477225E11	3.317766376697907E10
-8.137867813297421E11	-1.0691274350562355E10
-8.113342751116235E11	-5.5353814205419014E10
-8.077635119143397E11	-1.0109380331454797E11
-8.020506321437357E11	-1.4453855702421094E11
-7.919168511169689E11	-1.8811780781460507E11
-7.806307804360562E11	-2.3251360435806714E11
-7.674585629698193E11	-2.7423495294084494E11
-7.499311654851456E11	-3.1551935855571747E11
-7.312581592214733E11	-3.5731844423603735E11
-7.110186924015071E11	-3.9611190833274567E11
-6.865749166656652E11	-4.338941860123317E11
-6.609485993910453E11	-4.718984225239277E11
-6.342438546174073E11	-5.06763916094931E11
-6.036880488278306E11	-5.397539483316278E11
-5.715180103402761E11	-5.727587431783126E11
-5.390679811491973E11	-6.029283500501787E11
-5.034624606546671E11	-6.301023219051249E11
-4.655719402164731E11	-6.56789772413225E11
-4.279469192765625E11	-6.814586493601299E11
