Phobos X	Phobos Y
-2.4056230860898145E11	-5.661591293556146E10
-2.0833697847028546E11	-1.2453765945299626E11
-1.5144568287413123E11	-1.7747563058893524E11
-7.458084272452626E10	-2.0650325274657663E11
1.3717642780688656E10	-2.023885175080943E11
9.851184092372064E10	-1.5758545368447137E11
1.5698504242069815E11	-7.241237824687712E10
1.651998273611231E11	3.5300264915379715E10
1.1692368849043248E11	1.3142419122770467E11
3.1821112086217022E10	1.8801391544997015E11
-6.219097104821524E10	1.9865256958643524E11
-1.4500904015821417E11	1.712394680570498E11
-2.059673003672335E11	1.1748241305445213E11
-2.403748430668945E11	4.843607741961967E10
-2.467504212582455E11	-2.6245162461985073E10
-2.254469721627194E11	-9.786330603656665E10
-1.7826764179932318E11	-1.5800950371839514E11
-1.0884787113930045E11	-1.979830700542364E11
-2.38757072341045E10	-2.085897175603678E11
6.467812012531501E10	-1.8114134076325488E11
1.3711596679212085E11	-1.116261078471536E11
1.6822086911566043E11	-9.694603542566793E9
1.4207775439416003E11	9.550332595245656E10
6.868263159373405E10	1.703219067646818E11
-2.4690227690984642E10	1.993847387063031E11
-1.1386206982863156E11	1.8622678812220142E11
-1.8463735076801556E11	1.4185892844475146E11
-2.302850592898143E11	7.782378137289853E10
-2.4823838435772784E11	4.329754927213625E9
-2.3818790126579578E11	-6.961018127882298E10
-2.0133490159484048E11	-1.355478174605483E11
-1.4046431609084558E11	-1.8495831164701266E11
-6.079457820268772E10	-2.0882719234646683E11
2.8211466236719185E10	-1.979919835916745E11
1.1022429253088974E11	-1.4568913942740637E11
1.613363342463392E11	-5.465902132024755E10
1.5920676987934232E11	5.3619221806590866E10
1.0244531839159836E11	1.4412651806801636E11
1.3883882519274342E10	1.9238552827793674E11
-7.925202321970424E10	1.9542843868278287E11
-1.5870521474346478E11	1.6242879558870724E11
-2.1513566650147794E11	1.0514485573063412E11
-2.4457774807723883E11	3.4377755469645676E10
-2.4593978235315228E11	-4.043438440057573E10
-2.198351871993174E11	-1.1069365583301875E11
-1.683416019868516E11	-1.6797626002850388E11
-9.551760780323988E10	-2.0349114109212485E11
-8.791981922022263E9	-2.080054718903401E11
7.864959537461737E10	-1.7322126980960675E11
1.4570722995057767E11	-9.676717458131583E10
1.6732578570425894E11	8.305174824063723E9
1.3139754881619592E11	1.1026156787422075E11
5.2406569276100426E10	1.77414862652587E11
-4.165132129331671E10	1.983453632767194E11
-1.2826401002548709E11	1.7872630852113858E11
-1.948202636542946E11	1.299959469019004E11
-2.3552981293913022E11	6.352354413886508E10
-2.483298354315917E11	-1.0715096057754803E10
-2.332148567130779E11	-8.384350507096638E10
-1.9165290246663132E11	-1.4743103400543842E11
-1.2679336340893306E11	-1.9287419196786026E11
-4.447456178533916E10	-2.1106617741366418E11
4.4779429990961105E10	-1.9299723763501193E11
1.2315416124391891E11	-1.3296252015281224E11
1.6592921483214188E11	-3.6561000664771545E10
1.5315809672862186E11	7.114369600461787E10
8.853086373819714E10	1.5516135125840955E11
-2.6643492201738124E9	1.9491391748934097E11
-9.432919955303525E10	1.905613307472509E11
-1.7003240457943298E11	1.5227064181713315E11
-2.2165584741606534E11	9.176964366595328E10
-2.4589899292989185E11	1.9611983058556175E10
-2.4204163298054156E11	-5.495250542929149E10
-2.109685001106779E11	-1.2339503341710385E11
-1.5507059127526132E11	-1.772477019425991E11
-7.890908812786298E10	-2.0761175883569406E11
9.207116934442665E9	-2.0524925828077362E11
9.469781307231606E10	-1.6244178472535342E11
1.550658034380738E11	-7.892780764576106E10
1.6606445658607098E11	2.8423847704818947E10
1.2023483168889041E11	1.2585909986549869E11
3.6288459173449356E10	1.8460263960528253E11
-5.776300262211629E10	1.972696897982824E11
-1.4132379579030356E11	1.71362377673415E11
-2.033496391040256E11	1.1855817590842699E11
-2.3893896346863153E11	4.998578705263902E10
-2.4650117325605307E11	-2.4628770601085052E10
-2.2632406537714075E11	-9.654618168961784E10
-1.8015050713175348E11	-1.5734939037504276E11
-1.1152510113170215E11	-1.983547964432542E11
-2.6971108398373558E10	-2.1038303696848288E11
6.182404497173875E10	-1.846736578898451E11
1.3551616496098273E11	-1.1685870872500446E11
1.6891720859050897E11	-1.578610224941678E10
1.452507664673445E11	9.009528162542934E10
7.336483258690004E10	1.6674375580249014E11
-1.9709047175547943E10	1.9779182104341394E11
-1.0937894161612926E11	1.8621265785492963E11
-1.8103898977616455E11	1.4291048777603943E11
-2.277177664227492E11	7.948616002204057E10
-2.4672681174572025E11	6.223976985418E9
-2.3769281289204453E11	-6.781071087732788E10
-2.0177096330062488E11	-1.3414687785916895E11
-1.4168867395477988E11	-1.84263385935923E11
-6.256265929226845E10	-2.091635632380213E11
2.6333060923723923E10	-1.9967411716928378E11
1.0896372264224062E11	-1.4886804136110046E11
1.616473004746554E11	-5.896204267361914E10
1.6166612144731152E11	4.933627355112002E10
1.0658242517340662E11	1.4113199897417126E11
1.8618003123595634E10	1.9116159755095578E11
