Mars X	Mars Y
-2.356431796366524E11	-6.036394851963521E10
-1.9680210867308942E11	-1.3205396081827892E11
-1.3304501639770174E11	-1.8674262881452435E11
-5.087030930627622E10	-2.1512539142602826E11
3.896868400808993E10	-2.0996531302036545E11
1.2191408704392566E11	-1.687293005123371E11
1.822263513188647E11	-9.624955912255638E10
2.0774653744319556E11	-5.218180655278911E9
1.9430109357072885E11	8.712223314478488E10
1.4655876943754376E11	1.6453167673076938E11
7.51383095051565E10	2.1593541395376175E11
-7.347909628221613E9	2.3644450922037012E11
-8.907464664872705E10	2.262332075269259E11
-1.6022684892028445E11	1.8889876496987128E11
-2.1324972892206406E11	1.30173645655435E11
-2.4273830810600842E11	5.715926191004686E10
-2.4534065485881726E11	-2.2046029966129715E10
-2.198643966127663E11	-9.85216579856653E10
-1.6767808124820282E11	-1.6272788831661765E11
-9.340275682444409E10	-2.0502717537482718E11
-5.68257758205749E9	-2.168997220736359E11
8.260328983053777E10	-1.9315125561248447E11
1.5579379889072256E11	-1.3477476059483769E11
1.9932533072260013E11	-5.081327484921435E10
2.0476272507262793E11	4.3064120401605255E10
1.7265275963063516E11	1.294456709480261E11
1.1122322187514026E11	1.944276599606251E11
3.256310875473824E10	2.3016584627123105E11
-5.088257682800991E10	2.3457532270537897E11
-1.28247411346611E11	2.0977835865915573E11
-1.9087889514561612E11	1.605937132804128E11
-2.3234301541221527E11	9.352343956478296E10
-2.4828993647017587E11	1.6212232139430122E10
-2.3644654365661862E11	-6.279849062920321E10
-1.968681380003492E11	-1.3423043460073991E11
-1.3249716810575385E11	-1.8839455551306363E11
-4.9940207777207954E10	-2.1601956620414502E11
3.99370082511667E10	-2.0995917972094653E11
1.2250129270847142E11	-1.6784570410644644E11
1.8203831269311832E11	-9.472951180206116E10
2.0655218381984592E11	-3.488546398244046E9
1.9211746453613828E11	8.858002390101277E10
1.43619610804191E11	1.653312597483366E11
7.17857818468739E10	2.1586141202846E11
-1.0764871213343567E10	2.3544400991555783E11
-9.225513604388528E10	2.243697082617225E11
-1.6293323515823224E11	1.8630748137998856E11
-2.1530465622179385E11	1.2703330968710155E11
-2.440189321937081E11	5.367904988987021E10
-2.457781333662172E11	-2.5630129895101204E10
-2.1945273041526007E11	-1.0194887850511491E11
-1.6649304775384564E11	-1.6572078676124722E11
-9.162701646795789E10	-2.0731666711544327E11
-3.6230277538569064E9	-2.1827684755464346E11
8.453277480335283E10	-1.935452553644865E11
1.5715364073293503E11	-1.343259584983088E11
1.9978663670709802E11	-4.987893240815118E10
2.042237532145893E11	4.400989546804798E10
1.7125318140883942E11	1.2996556518189565E11
1.0926054698968784E11	1.942294457667118E11
3.038615293971558E10	2.2912640848351846E11
-5.294719325230333E10	2.3270978262262054E11
-1.299292825964735E11	2.071956944190884E11
-1.9197223073013565E11	1.5746066745206702E11
-2.327039661335109E11	9.004213303607248E10
-2.4783200411142288E11	1.2608677210826408E10
-2.3514102102958255E11	-6.627882879912256E10
-1.9475320609239288E11	-1.3732581941726653E11
-1.2969744444061845E11	-1.9083728979182697E11
-4.669215972228105E10	-2.1756642138580795E11
4.327213170181767E10	-2.1045363503719165E11
1.2547346770735054E11	-1.673058841082093E11
1.8422274154530157E11	-9.341044624786978E10
2.0770327889110947E11	-1.8417747221740935E9
1.9225448110599002E11	9.00568708329502E10
1.429815947683594E11	1.6625091072237012E11
7.07146744137459E10	2.1601530757643448E11
-1.1924373807257212E10	2.347862474913154E11
-9.320688016409653E10	2.2296958055785925E11
-1.6344494652522223E11	1.843071705768407E11
-2.1520710276571594E11	1.24620769755949E11
-2.4320253793718115E11	5.10727724018284E10
-2.4419299627856952E11	-2.8189722786585575E10
-2.1711448163491086E11	-1.0420636952469427E11
-1.6349476701284058E11	-1.6741630099198178E11
-8.815614494429768E10	-2.0820703782403705E11
2.505546350245212E7	-2.1817669257921097E11
8.796480218988753E10	-1.9239224579653305E11
1.5994261715425623E11	-1.3225180808357948E11
2.015959800592286E11	-4.722922458405348E10
2.0493171721752206E11	4.6758150210271645E10
1.709848450074961E11	1.3235602441612991E11
1.0831157005534554E11	1.9594718190361514E11
2.9110328619072872E10	2.3003135194612967E11
-5.421921125327918E10	2.3280625812524374E11
-1.3092563138323296E11	2.0658538581344525E11
-1.924862615566326E11	1.563051913391976E11
-2.3259033150327005E11	8.854119760112418E10
-2.4700412491561874E11	1.0989724101211796E10
-2.3357497438607257E11	-6.7765446569687836E10
-1.925003772714366E11	-1.3841404770627292E11
-1.2690372722570583E11	-1.9126299623895694E11
-4.361568564289215E10	-2.1710556173786588E11
4.62634588737409E10	-2.0898501740389227E11
1.2795111370912308E11	-1.6488438070937643E11
1.858057658386607E11	-9.030430566279617E10
2.0818475064989392E11	1.5179068934962044E9
1.9166331089631183E11	9.320666357296776E10
1.4154139878840594E11	1.688240783486516E11
6.87476377276481E10	2.1780115874353714E11
-1.4083226480268621E10	2.3572281290756033E11
-9.525880603166154E10	2.231072414822086E11
-1.6514707550528238E11	1.8377204943730225E11
-2.1637600227733408E11	1.235882271374655E11
-2.4371293622619153E11	4.975196005761245E10
-2.4397828850850366E11	-2.95634866959241E10
-2.161740639052544E11	-1.053759053130907E11
-1.6191048476487927E11	-1.681113428170184E11
-8.611617140032802E10	-2.081680670163226E11
2.2070620369738507E9	-2.1720669476472018E11
8.986538850822177E10	-1.9043777698045074E11
1.6111451086756772E11	-1.2948052743647868E11
2.0171608431093835E11	-4.403149583267375E10
2.0392124135260648E11	4.988445753091399E10
1.690102124407381E11	1.3497041829480193E11
1.0568433562943172E11	1.9776903309237674E11
2.61771015382391E10	2.309489142424581E11
-5.714285458730995E10	2.3283628303117368E11
-1.3357893198251099E11	2.0582915522671005E11
-1.946659263195232E11	1.549183158001671E11
-2.3414764098561868E11	8.671690362103711E10
-2.4784472111414926E11	8.9506241790717E9
-2.336640172833773E11	-6.977250995323007E10
-1.91874610606015E11	-1.401250590840187E11
-1.2569014306264952E11	-1.9241264320282578E11
-4.205255246871104E10	-2.1746081393979007E11
4.782020762852976E10	-2.084059595812385E11
1.2906751769787766E11	-1.6340511557927625E11
1.8608036948638586E11	-8.818896255256943E10
2.073955365041315E11	3.8158869095186086E9
1.898503167716988E11	9.519075147944336E10
1.3896211205190222E11	1.7011079534979358E11
6.575852744211078E10	2.1818947292302243E11
-1.712946859879999E10	2.3517650265598288E11
-9.806463075430629E10	2.2170334665511136E11
-1.6748190142302777E11	1.816555215365438E11
-2.1807142258382593E11	1.209439435034524E11
-2.44656236000143E11	4.679225920473836E10
-2.4411184024228464E11	-3.2603037363597626E10
-2.155033885449892E11	-1.082392832015592E11
-1.605214923220249E11	-1.705314265706345E11
-8.41968369089671E10	-2.0989154951041418E11
4.353178691889839E9	-2.180438313948028E11
9.183847946644281E10	-1.903351901561187E11
1.6249655975519495E11	-1.2858792875601051E11
2.0219976986855386E11	-4.2703977947235725E10
2.034193951376433E11	5.1184263324464806E10
1.6766880845207358E11	1.3581929004995807E11
1.0380182748653531E11	1.9788635929214377E11
2.4101063831436413E10	2.302194903064208E11
-5.908892930160053E10	2.3128059731520496E11
-1.3512923994139433E11	2.03559877870051E11
-1.956200127124105E11	1.521046085639103E11
-2.3436688432595367E11	8.356203343161343E10
-2.4724803500721088E11	5.681166764397684E9
-2.32228853588751E11	-7.29110624719013E10
-1.89646942518387E11	-1.4287213218399878E11
-1.2280418515950113E11	-1.9450531858650952E11
-3.875425317105894E10	-2.1866739578091525E11
5.1165896777081566E10	-2.085904338591164E11
1.3202102511733394E11	-1.6261049905786166E11
1.8824504114168256E11	-8.66855597592067E10
2.0856133801430826E11	5.584647285190603E9
1.900597876252653E11	9.67556687997732E10
1.3845638248996643E11	1.7111633042575864E11
6.4866614287082634E10	2.184482204039682E11
-1.8079534324156227E10	2.3465145396603918E11
-9.878990840088535E10	2.2046500312061212E11
-1.67757859570182E11	1.7984427640282083E11
-2.1773268240381308E11	1.187456348383518E11
-2.4359507820810104E11	4.4423746326259834E10
-2.4227978499901486E11	-3.490241741381862E10
-2.129175916766261E11	-1.102146942282531E11
-1.5727757115986438E11	-1.719229101304823E11
-8.048692436767809E10	-2.1045603681777377E11
8.225773580604063E9	-2.1759836382294998E11
9.547142894668303E10	-1.8882651915545126E11
1.6545934852056372E11	-1.2616507044743811E11
2.0416632336828073E11	-3.97321827645894E10
2.042914476626267E11	5.421834006889171E10
1.6759485460636618E11	1.3846668637863464E11
1.0308870502707336E11	1.9985167727355902E11
2.309991621027795E10	2.313830897367574E11
-6.00576087211138E10	2.316612686005742E11
-1.3580524555556476E11	2.0326640027521475E11
-1.9580682822065088E11	1.51301027062645E11
-2.3392745139472375E11	8.244845913247758E10
-2.4610292071499423E11	4.485375264405425E9
-2.3036152091217993E11	-7.393836082497705E10
-1.8711658658382043E11	-1.434655048065094E11
-1.1976441515405531E11	-1.9440450652338037E11
-3.5468903409299545E10	-2.1765637778097723E11
5.43273020546529E10	-2.0655912185771115E11
1.3463374650023076E11	-1.5962482334944064E11
1.8993620639271744E11	-8.302181844591524E10
2.0913397750536108E11	9.491392912334566E9
1.8955268407605307E11	1.0044156402817232E11
1.3710262243371101E11	1.7421717583175134E11
6.299659691126251E10	2.2075920378187134E11
-2.012544092107639E10	2.361188246511431E11
-1.00712331313969E11	2.21147975721759E11
-1.693175445183132E11	1.7987628522084766E11
-2.187525763271718E11	1.1830696744358261E11
-2.4395750685887122E11	4.3726480064818214E10
-2.419263352296404E11	-3.562069870857284E10
-2.1185705545360315E11	-1.1069515186557048E11
-1.55604026659616E11	-1.7189528426654584E11
-7.840423256672983E10	-2.0966558466188617E11
1.0388708174854326E10	-2.1586121323422192E11
9.728502453851022E10	-1.8611138049153543E11
1.6648760062266296E11	-1.2266243205369644E11
2.0411106790656256E11	-3.5842180978766136E10
2.0309711400545435E11	5.800673734898087E10
1.6543701677920468E11	1.4173061422523462E11
1.0027593693592326E11	2.0232422457472418E11
1.9972555551237995E10	2.3295830570255505E11
-6.3187546837851456E10	2.3235707168833374E11
-1.3867726729739093E11	2.0318494416536755E11
-1.982164900521684E11	1.5060032649371603E11
-2.3572585957803113E11	8.132570078379523E10
-2.4719730069407202E11	3.167300726473917E9
-2.3072077591929926E11	-7.520176484624493E10
-1.86783732779734E11	-1.4440861913594836E11
-1.1887620855799805E11	-1.9476181644325525E11
-3.427724284214592E10	-2.1719841101317514E11
5.5450689510805664E10	-2.0515802683732907E11
1.3524434176911348E11	-1.5733937813258157E11
1.89638316822817E11	-8.014700920089673E10
2.0773016950300082E11	1.2481975470521614E10
1.8711176683015198E11	1.0305430691097932E11
1.3389772234518895E11	1.7608760080285828E11
5.938371702426884E10	2.2170565149655792E11
-2.380231842849065E10	2.36115356933647E11
-1.0416379405763863E11	2.2027337573308533E11
-1.723168303325488E11	1.7827314697091333E11
-2.2113076098203867E11	1.1615875052334082E11
-2.4559934657580914E11	4.124743338261547E10
-2.427725331560591E11	-3.8189398792885185E10
-2.1191508099031433E11	-1.1308970042157071E11
-1.5496615372928613E11	-1.7384137114489856E11
-7.726902208508151E10	-2.1090698112670425E11
1.1704754676114048E10	-2.16212472820395E11
9.837006433724167E10	-1.855325055210857E11
1.669183216638945E11	-1.2132504220277234E11
2.0358773368929092E11	-3.412623556971127E10
2.0155403676464148E11	5.961967713668503E10
1.630474584874381E11	1.4281173659137915E11
9.736115196805795E10	2.0260050956556665E11
1.689174225059766E10	2.3232887158113983E11
-6.610974083742846E10	2.3085580168109344E11
-1.4117953669669247E11	2.0093291497927448E11
-2.001033976885748E11	1.4776987091486453E11
-2.3686130129913037E11	7.812075613982008E10
-2.4749988629936053E11	-1.8427560496294108E8
-2.301667991565672E11	-7.844972094635382E10
-1.854208894151102E11	-1.472837430873717E11
-1.1684714187171507E11	-1.9699104642685272E11
-3.184454976672994E10	-2.1854430821995602E11
5.7902058327970894E10	-2.0549013759012653E11
1.3726204098332817E11	-1.567200887822902E11
1.908300840787479E11	-7.887196464673828E10
2.0790617642290475E11	1.3951213317013363E10
1.86340054802064E11	1.0424467721140366E11
1.3244074027171419E11	1.7665132508793277E11
5.758499576002583E10	2.214691239788967E11
-2.5606572313756752E10	2.3505736330597403E11
-1.0568808206332593E11	2.1847982441701154E11
-1.7333928693843234E11	1.758975165032174E11
-2.2149249963272537E11	1.1339536679226724E11
-2.4520086399145355E11	3.831626402645431E10
-2.4157249082253937E11	-4.1050614975211395E10
-2.0993517853032913E11	-1.1562980266260901E11
-1.5230428301950012E11	-1.7580330131032596E11
-7.411987708772482E10	-2.120478403175411E11
1.5031602395636885E10	-2.1634949598662082E11
1.0146213193742361E11	-1.8461860409549625E11
1.6933855168173502E11	-1.1952564117344637E11
2.0501719259007852E11	-3.1826191561935516E10
2.0191449103313577E11	6.192521115462465E10
1.6250780080020438E11	1.4468247711415393E11
9.623868921576105E10	2.037590180340877E11
1.553893011366275E10	2.3267339606052673E11
-6.737586760415927E10	2.304192222618767E11
-1.4210399313588977E11	1.998354387913664E11
-2.0049662436989697E11	1.461853694361986E11
-2.3659550965185257E11	7.62577049123443E10
-2.4650775299583267E11	-2.0927664513962693E9
-2.284454095679461E11	-8.01529740195383E10
-1.8304186959420795E11	-1.4852376629845084E11
-1.1397108362531082E11	-1.975220725055323E11
-2.8733588120575386E10	-2.181682805705188E11
6.088908891657298E10	-2.041123584303559E11
1.39716322523799E11	-1.5441373199159106E11
1.9239433218513858E11	-7.59118837894002E10
2.083948920301069E11	1.7136960872093346E10
1.8579926996075613E11	1.0720087632366577E11
1.3110671552308405E11	1.7902301115165955E11
5.57873270023259E10	2.23060567766526E11
-2.753220255442381E10	2.3582261578322037E11
-1.0744940061292047E11	2.1848342623520187E11
-1.7470460215835468E11	1.7527636249555627E11
-2.2229159804664618E11	1.1233270414739108E11
-2.4532243544638116E11	3.702792024779076E10
-2.4096607977639072E11	-4.232279429493225E10
-2.0862090939503152E11	-1.166236376270911E11
-1.5039136970848184E11	-1.762495261214417E11
-7.182788139016098E10	-2.1170100032341904E11
1.7364573761453407E10	-2.150451229476257E11
1.0341266082164815E11	-1.823497602845947E11
1.7049384932806866E11	-1.1649966733833904E11
2.0510872930692627E11	-2.844160552703814E10
2.009062422845331E11	6.519744798156787E10
1.6057864899649884E11	1.474409285592051E11
9.369033121434908E10	2.0575121631334018E11
1.2703110757136068E10	2.3379941344227576E11
-7.019372174622696E10	2.306983766039945E11
-1.4464765233851144E11	1.9936978378755832E11
-2.0256458663649432E11	1.4513271320084152E11
-2.3804122251530304E11	7.481481489184506E10
-2.472409743111364E11	-3.6990719196287155E9
-2.2843836356175638E11	-8.167143849792216E10
-1.8234316797565305E11	-1.496856704931301E11
-1.1272756236036543E11	-1.980589366383509E11
-2.721293256971825E10	-2.1785226512429782E11
6.2297134464760086E10	-2.0282830993246405E11
1.405574140095936E11	-1.5224570991943802E11
1.9228213388496213E11	-7.318269587497224E10
2.071580995828091E11	1.9940886366494728E10
1.8353227822616476E11	1.0959446798976598E11
1.2809491353387257E11	1.8066110772886554E11
5.238584190885846E10	2.237782105149629E11
-3.098568045201753E10	2.356036706269197E11
-1.1067170354964702E11	2.1741109550901398E11
-1.7747325233589618E11	1.734952217395946E11
-2.2444104406559042E11	1.1002762858291972E11
-2.4674103259688568E11	3.441488217740438E10
-2.415991240058359E11	-4.500098123676777E10
-2.0848134665546677E11	-1.1910276696700334E11
-1.4957783274784564E11	-1.7825698409379968E11
-7.054561280151271E10	-2.1298494717416296E11
1.8792162616959267E10	-2.1542778014480066E11
1.0456801441483595E11	-1.818033530993794E11
1.7095334213964636E11	-1.1521269356005983E11
2.0458244147072873E11	-2.68121754788572E10
1.9934752399210446E11	6.6676453154332726E10
1.5818125135598157E11	1.483409590656702E11
9.078875722770958E10	2.0580907996554495E11
9.66050629795917E9	2.329269382136664E11
-7.305464373983156E10	2.289399845575543E11
-1.4706954937417148E11	1.9685312169248306E11
-2.0435569323339044E11	1.4203425754560855E11
-2.3906844399032895E11	7.134193665088914E10
-2.4742601992334216E11	-7.314681351784746E9
-2.2776270604790408E11	-8.51754143716023E10
-1.808630157576971E11	-1.5280575820754208E11
-1.1059771070135004E11	-2.0052324545492648E11
-2.4708678806313114E10	-2.1943231730941785E11
6.478392220273214E10	-2.0341145405367355E11
1.425812822915515E11	-1.5191569170571402E11
1.9347189196073386E11	-7.224958370586627E10
2.0734927729743658E11	2.1016117455923344E10
1.8281042836363162E11	1.103515418554499E11
1.267288755571926E11	1.8076774626195792E11
5.0719178383351395E10	2.2307277474663156E11
-3.2617975576400707E10	2.340723571046345E11
-1.1198512122837816E11	2.1514438573191177E11
-1.782468533616262E11	1.7064946348183255E11
-2.2451681267323434E11	1.0679948577685065E11
-2.4601988729532144E11	3.1026736274230846E10
-2.400399274634073E11	-4.830741666855044E10
-2.0610703741595126E11	-1.220701624871313E11
-1.4649140132547897E11	-1.8062018674018192E11
-6.695399435772988E10	-2.144943220489284E11
2.2559972148880936E10	-2.1590129430330743E11
1.0808008442153731E11	-1.812094786390655E11
1.737673099913854E11	-1.1374624189134842E11
2.063971270218538E11	-2.488568513223046E10
2.0011642912882452E11	6.856103984571964E10
1.5809901020434772E11	1.497595255872313E11
9.018234268547275E10	2.065092630312232E11
8.878739101643658E9	2.3282782977540485E11
-7.370393004221965E10	2.2808709221710196E11
-1.473408703810592E11	1.9537282870470514E11
-2.04066791136978E11	1.4010329925889917E11
-2.380965844884407E11	6.917056950554475E10
-2.4570697508676077E11	-9.491797614252089E9
-2.2529547609869647E11	-8.71060803359684E10
-1.777208663544072E11	-1.5422989511769336E11
-1.069441094501832E11	-2.0119109249953513E11
-2.0812246257281063E10	-2.191404251554483E11
6.855151188686259E10	-2.020622907490303E11
1.4579345600996414E11	-1.4958997787857675E11
1.9575872602591962E11	-6.924402582801466E10
2.0853013320342242E11	2.4244435054918762E10
1.8295456082599698E11	1.13327974343938E11
1.2610150880027376E11	1.8313704834573206E11
4.966999082263053E10	2.246545354782834E11
-3.3747817926471718E10	2.348415132690324E11
-1.1290931749466898E11	2.151840493788621E11
-1.7874555734198413E11	1.7010937690755667E11
-2.2443295988607178E11	1.0587006980893451E11
-2.4525489728175018E11	2.992651385080496E10
-2.3855511431830774E11	-4.9336935325589325E10
-2.0393391184852478E11	-1.2276941473246587E11
-1.4374949130928793E11	-1.8072497965749985E11
-6.387070855561818E10	-2.1376769740605164E11
2.564378532375237E10	-2.1419058874301718E11
1.1074465732128433E11	-1.785196769158363E11
1.756090238845483E11	-1.1029185929476924E11
2.071572518228775E11	-2.106587316593247E10
1.997657360330782E11	7.227795149764888E10
1.5682134930986624E11	1.5297420495239487E11
8.82856397464483E10	2.0897119211173544E11
6.701967550435091E9	2.3444225852363675E11
-7.585009953720404E10	2.2888254071543326E11
-1.4920018769671323E11	1.954626456617291E11
-2.0544398619986023E11	1.3965514597421628E11
-2.3885639420468378E11	6.838725050638585E10
-2.4577324818853818E11	-1.0382624740019148E10
-2.2465507667469693E11	-8.785708808268288E10
-1.7643599378323178E11	-1.545809778961689E11
-1.0517297244925078E11	-2.008871389486254E11
-1.8830053990110775E10	-2.1797239721182593E11
7.035591085445105E10	-1.9993831205456964E11
1.4698072525958163E11	-1.466161122134647E11
1.959711777314808E11	-6.575173150394336E10
2.0762488295445038E11	2.7781850299336372E10
1.810378393246889E11	1.1645313650636865E11
1.2345094469153358E11	1.85530293885392E11
4.662404606181147E10	2.2616396386189893E11
-3.686653437401748E10	2.3545272375290384E11
-1.158267952606013E11	2.1497713066443576E11
-1.8124380289125787E11	1.6922623428793317E11
-2.2634909597539172E11	1.0449506048251021E11
-2.4648102794944983E11	2.827638191375853E10
-2.390425985889998E11	-5.1019699760639465E10
-2.0370364672064243E11	-1.242241840375111E11
-1.4290805229919415E11	-1.8168761112808667E11
-6.2629133977116714E10	-2.139995973253358E11
2.6960628218426186E10	-2.135312793489896E11
1.1172492609566743E11	-1.76961042860055E11
1.7584423211582544E11	-1.0804107574586661E11
2.063815581161418E11	-1.853041979099898E10
1.9795746912886752E11	7.461155536433609E10
1.5418806071136667E11	1.5469726889555252E11
8.515942418506432E10	2.098422396851946E11
3.4325370959381046E9	2.3438665653540604E11
-7.895590086194424E10	2.279478149888724E11
-1.518966586161503E11	1.937725520228636E11
-2.0754505961497873E11	1.373799261699978E11
-2.4023006801961243E11	6.572966620919932E10
-2.463410781967505E11	-1.319181938160913E10
-2.2440009804138202E11	-9.056141468565833E10
-1.7542021582359256E11	-1.5690584715230048E11
-1.0356065690674156E11	-2.025624988210876E11
-1.6905919509170778E10	-2.1877960128128647E11
7.21977368532116E10	-1.9978268733172495E11
1.483047829032357E11	-1.4560141219407892E11
1.9642721452254037E11	-6.420040381342058E10
2.0707193116015158E11	2.940957533811663E10
1.7957947460556744E11	1.1770715268711137E11
1.21366042930387E11	1.860912178488425E11
4.426001238189992E10	2.2588167159969366E11
-3.917544342484169E10	2.3432240076494678E11
-1.178001302075105E11	2.1309442470957098E11
-1.8266608262678995E11	1.6674885576231638E11
-2.270668566242528E11	1.0161810889545624E11
-2.4639736726474048E11	2.5220129696693287E10
-2.3811669857896307E11	-5.4014007206563194E10
-2.0195914621629535E11	-1.2689628644553806E11
-1.4045261512710178E11	-1.837669950144671E11
-5.968100961641808E10	-2.1523313162386905E11
3.0056086054504345E10	-2.1374251008824423E11
1.1452378936320065E11	-1.7613755722599997E11
1.779091365700425E11	-1.0640369221154893E11
2.0743588375444366E11	-1.6507555226568829E10
1.9798402834219305E11	7.652317613029388E10
1.5339977218949628E11	1.5609285927181714E11
8.388752091452773E10	2.1048956426314526E11
2.022806726792787E9	2.3421930013893005E11
-8.020029288096161E10	2.2702056666931577E11
-1.5273430811623297E11	1.9221834649229202E11
-2.0779732810978268E11	1.3538068894556638E11
-2.3977794661777353E11	6.349890422214328E10
-2.45124431293033E11	-1.5418479028605392E10
-2.224216407867393E11	-9.2532791866423E10
-1.727560428923398E11	-1.583633629677414E11
-1.0037753230017964E11	-2.032573779211919E11
-1.3478715041202171E10	-2.1850897206854117E11
7.548722732398148E10	-1.984533573944578E11
1.5102087977681406E11	-1.4330723452096198E11
1.9820156935025003E11	-6.125902112925534E10
2.077409731496559E11	3.252423200741788E10
1.7923611231698874E11	1.2051895401736876E11
1.2029192838272816E11	1.8825809513146494E11
4.280843317087745E10	2.2724119592428122E11
-4.066812323406837E10	2.3486424137865363E11
-1.190547692203683E11	2.1291130931541373E11
-1.8346873581087024E11	1.6599673083082758E11
-2.2726552855786398E11	1.0049253322697668E11
-2.4589888584086993E11	2.3945109203960266E10
-2.368895521135326E11	-5.51915247709168E10
-2.0004412622875723E11	-1.2771345447656027E11
-1.379800931044689E11	-1.8396079951311707E11
-5.68879529114478E10	-2.145737983813074E11
3.2823674324524136E10	-2.120896658316332E11
1.168480112895276E11	-1.7351084902856845E11
1.793948535269523E11	-1.0303052719961551E11
2.0783715422415054E11	-1.2794302087793226E10
1.9728513901686093E11	8.010810222530975E10
1.517953626199709E11	1.5915541028366223E11
8.169214949080997E10	2.1278756729916364E11
-4.220610174746975E8	2.3566644000588528E11
-8.258485944596631E10	2.2765219256098294E11
-1.5480525115619952E11	1.921518823519437E11
-2.093627430455236E11	1.3478605108064648E11
-2.4070527675732993E11	6.25811717239953E10
-2.4533945824728784E11	-1.6427212250591145E10
-2.2191466070947375E11	-9.337782441204205E10
-1.7159734736843127E11	-1.5877508669611768E11
-9.874074915823492E10	-2.0297294936023425E11
-1.166097860812304E10	-2.173199210251925E11
7.707555099913852E10	-1.9628233649574072E11
1.519317774995528E11	-1.402871494642165E11
1.980886176255853E11	-5.774791276947417E10
2.0648594521669205E11	3.604085927392998E10
1.7696837818426413E11	1.2358805728726878E11
1.1730224232617453E11	1.90572320875002E11
3.943936049144642E10	2.2866108615455832E11
-4.409444353089268E10	2.3538492965135336E11
-1.2226657160401874E11	2.126197600524283E11
-1.8625092542928064E11	1.6503973674110468E11
-2.2945830311878134E11	9.905795235891666E10
-2.4739721657075323E11	2.22516248527224E10
-2.376472898465617E11	-5.690022760173523E10
-2.000847621027504E11	-1.291751774863096E11
-1.3741471794761987E11	-1.8490800446928766E11
-5.593745650565939E10	-2.1476357480086496E11
3.381744214728714E10	-2.1136091168561066E11
1.1745262381783258E11	-1.718668922835217E11
1.7918933945467688E11	-1.0070526564698528E11
2.0656257395726822E11	-1.0227444878814972E10
1.949440777144205E11	8.241039878681767E10
1.4862235792271112E11	1.6078500664014673E11
7.80373547428761E10	2.135167227655274E11
-4.2018363138809495E9	2.3543741020427936E11
-8.618309069582645E10	2.2652682491652283E11
-1.5798097593518408E11	1.902647250115804E11
-2.119368971456275E11	1.3231508459289886E11
-2.4255453360183145E11	5.9734182702601425E10
-2.463951605427454E11	-1.941771102507434E10
-2.2217030149709262E11	-9.625756940124692E10
-1.711242083987631E11	-1.6127665440820203E11
-9.770873867147047E10	-2.048380413881871E11
-1.0353847720045322E10	-2.1834450879596848E11
7.827163335234137E10	-1.963857751093587E11
1.5259391097842255E11	-1.3958329004632794E11
1.9788019258436914E11	-5.656341020139544E10
2.052784055242191E11	3.724691035337287E10
1.748760716706288E11	1.2437033892754897E11
1.1461279124987189E11	1.9061784220147607E11
3.65057804180216E10	2.2782719145370627E11
-4.693639434785064E10	2.336742998302364E11
-1.2473822484890329E11	2.101349954789817E11
-1.8814031518147974E11	1.619442299896568E11
-2.3061618179604617E11	9.555137387838655E10
