Moon X	Moon Y
-3.0369635152308395E10	1.451127050178935E11
-1.1957757019403722E11	8.664046797471793E10
-1.483978957931975E11	-1.4574901190001322E10
-1.027457100133909E11	-1.0947358673677759E11
-8.451476111535011E9	-1.5057766701591998E11
9.104900716741724E10	-1.2107037285791254E11
1.4635567609033362E11	-3.346929483564993E10
1.3230200849216515E11	7.011534694040527E10
5.118597541804943E10	1.392188840800407E11
-5.466693183716908E10	1.3757766722667075E11
-1.337238808098464E11	6.532071658850275E10
-1.438851373795501E11	-3.932084759990078E10
-8.444666393465218E10	-1.2499485574797444E11
1.6413811489242226E10	-1.498312044134312E11
1.0853362265873291E11	-1.0465691431500113E11
1.4977488696804227E11	-8.44553344155707E9
1.1749619435492235E11	9.09293301644377E10
2.6585977537462704E10	1.4625854328571344E11
-7.827861794144975E10	1.2569869952907732E11
-1.4323217285564807E11	4.2264402671724014E10
-1.3614692404886061E11	-6.349053261617646E10
-6.323592018593687E10	-1.3675189307505037E11
4.014618171155027E10	-1.4584434475625574E11
1.2351081370957152E11	-8.486739334314822E10
1.485985658273516E11	1.5873219892819658E10
9.950370578969731E10	1.0979299441535574E11
1.0462862360891445E9	1.479550439103772E11
-9.961034766212364E10	1.1076402964727469E11
-1.484842516113364E11	1.6924102103523884E10
-1.249010705416425E11	-8.52702323533689E10
-3.988603037911411E10	-1.457764676381755E11
6.232953666829133E10	-1.3748254230505325E11
1.3582122681379408E11	-6.3592455304548874E10
1.4264824331885843E11	4.001856745955864E10
7.950753233374849E10	1.2486824652381775E11
-2.524246916500856E10	1.4532440203118314E11
-1.1701613960488882E11	9.227660220144502E10
-1.501728353673797E11	-9.092882908321281E9
-1.0916759980999521E11	-1.0472701492387288E11
-1.6080308826348387E10	-1.513112156747603E11
8.381630220599844E10	-1.2516637782622884E11
1.4393315079441022E11	-4.12275474122344E10
1.3345812658007317E11	6.357199148202243E10
5.691105858171297E10	1.3552408108598834E11
-5.018752037294884E10	1.3908859299806E11
-1.3105215379934348E11	7.018821711613522E10
-1.4727899097153177E11	-3.4032811456565334E10
-9.02303246060475E10	-1.2219481802839268E11
8.182816783846476E9	-1.5194711291185864E11
1.0350983384381123E11	-1.1030351770272336E11
1.4788303949870755E11	-1.6970302730124695E10
1.2118511176289272E11	8.461723733350064E10
3.2183637488052677E10	1.4281072354522803E11
-7.277814391084712E10	1.282713380399042E11
-1.4187138360745483E11	4.6463499237449104E10
-1.392362545859986E11	-5.822767267708125E10
-6.951184950291321E10	-1.3615112430414789E11
3.3274271573726887E10	-1.484412372048212E11
1.1973398941606769E11	-9.256994990801233E10
1.4871569869472675E11	8.126087321818699E9
1.0485344331471588E11	1.0293177848921552E11
7.383772841321834E9	1.4651750233687424E11
-9.36362148660337E10	1.1315956682629579E11
-1.4791200269018713E11	2.2241170226542686E10
-1.2751289451192992E11	-8.142761168685559E10
-4.651321882588251E10	-1.454349658871973E11
5.7499736613686775E10	-1.4162218813159134E11
1.3284533850395023E11	-7.125652758339856E10
1.4567867360423532E11	3.235883670209412E10
8.52981784329634E10	1.1930331209374162E11
-1.7142367418360062E10	1.4535681458934436E11
-1.1219550853401013E11	9.56156294357488E10
-1.4904591783947894E11	-2.987981040074454E9
-1.1292710464841321E11	-1.0163192265496155E11
-2.145330786978736E10	-1.509410160920569E11
