Charon X	Charon Y
1.6131744067307656E12	-4.74011947380949E12
1.6320873923592844E12	-4.737907976955746E12
1.6510185424996316E12	-4.73557683975043E12
1.6698866332926562E12	-4.733235845425159E12
1.6887724959797964E12	-4.730775583594603E12
1.7075948765043135E12	-4.728305834814998E12
1.7264346422393062E12	-4.725717193241985E12
1.7452105088620088E12	-4.723119436790977E12
1.7640033799491025E12	-4.720403164054301E12
1.782731940844628E12	-4.717678150340852E12
1.801477131399364E12	-4.714834998582259E12
1.820157606559487E12	-4.711983481520402E12
1.8388543425176775E12	-4.709014206341848E12
1.8574859637521504E12	-4.706036943259677E12
1.8761334828592083E12	-4.702942303638091E12
1.8947154937845762E12	-4.699840055201236E12
1.9133130455760774E12	-4.696620813424104E12
1.9318447015811511E12	-4.693394343580475E12
1.9503915473344531E12	-4.6900512651918545E12
1.9688721155185193E12	-4.686701341114194E12
1.9873675281798057E12	-4.683235194859268E12
2.0057962872627559E12	-4.679762586890208E12
2.0242395513405515E12	-4.676174144652898E12
2.0426157915349163E12	-4.672579626227458E12
2.0610062029620881E12	-4.66886966293955E12
2.079329225828642E12	-4.665154010484178E12
2.0976660917956387E12	-4.661323304007679E12
2.115935210067203E12	-4.657487296798546E12
2.134217848841362E12	-4.653536627761494E12
2.152432386237838E12	-4.649581047742745E12
2.1706601269797502E12	-4.64551119934202E12
2.1888194180237842E12	-4.641436830909148E12
2.2069916006023984E12	-4.637248588672128E12
2.225094990444869E12	-4.6330562184194375E12
2.243210965275807E12	-4.62875036994531E12
2.2612578095401694E12	-4.624440786398915E12
2.279316937439176E12	-4.620018121082321E12
2.2973066020881284E12	-4.615592114419568E12
2.315308254158627E12	-4.611053423175428E12
2.333240115391559E12	-4.606511784957734E12
2.3511836729266543E12	-4.601857859957733E12
2.3690571170987285E12	-4.597201382872663E12
2.386941971510652E12	-4.592433017299509E12
2.404756395073257E12	-4.587662494931111E12
2.4225819478400444E12	-4.582780482761749E12
2.440336757290933E12	-4.577896709383073E12
2.4581024199168926E12	-4.572901845194296E12
2.4757970317665737E12	-4.567905615591565E12
2.493502225746208E12	-4.562798694399383E12
2.5111360664835625E12	-4.557690803720969E12
2.5287802232698975E12	-4.552472620839026E12
2.546352729329773E12	-4.547253864466659E12
2.563935290306538E12	-4.541925215392315E12
2.581445908030784E12	-4.536596388834576E12
2.5989663244690874E12	-4.531158069145163E12
2.6164145100757827E12	-4.525719967943605E12
2.633872243090513E12	-4.520172773211986E12
2.651257462623328E12	-4.51462619286248E12
2.6686519831272417E12	-4.508970918580707E12
2.685973712397871E12	-4.50331665445685E12
2.703304501044074E12	-4.497554095964828E12
