Time-step	Difference in L
1000.0	7.230454868349695E29
1500.0	3.36793767022829E29
2250.0	4.047398483954857E28
3375.0	3.572962636221097E28
5062.5	4.902790815510791E29
7593.75	1.537161030014794E29
11390.625	7.51123948337026E28
17085.9375	3.042709964130444E28
25628.90625	1.0403462579092292E29
38443.359375	4.456894757375776E28
57665.0390625	3.4732561920071926E28
86497.55859375	4.952654681451136E28
129746.337890625	3.969818233309172E28
194619.5068359375	9.914470151174383E27
291929.26025390625	5.44762988724735E28
437893.8903808594	5.5793203594916796E26
656840.8355712891	6.437921696739659E28
985261.2533569336	9.912658599704154E27
1477891.8800354004	5.137474467575584E27
2216837.8200531006	9.962656678395024E27
3325256.730079651	5.452045609357179E28
4987885.095119476	7.939256641148404E28
7481827.6426792145	1.2388973801476603E29
1.1222741464018822E7	1.3391241161999927E29
1.6834112196028233E7	6.0969941295128035E29
2.525116829404235E7	2.675843350918551E29
