Time-step	Difference in L
30.0	2.0765852108429692E30
45.0	3.518759964552415E30
67.5	1.8162170324357125E30
101.25	1.3043217765359703E30
151.875	1.6739689237389336E30
227.8125	2.010767414570353E30
341.71875	9.017317518256337E29
512.578125	3.674957266465494E29
768.8671875	8.481499546594229E28
1153.30078125	4.210162585355072E29
1729.951171875	8.467625396339389E29
2594.9267578125	6.933267515458535E29
3892.39013671875	1.2874808892203451E29
5838.585205078125	2.6490475129191764E28
8757.877807617188	4.407366740550186E29
13136.816711425781	1.2882341415315732E29
19705.225067138672	1.2383027243487888E29
29557.837600708008	3.9705570629329E28
44336.75640106201	8.914148802087089E28
66505.13460159302	1.3866180485206257E29
99757.70190238953	1.0404244395145597E29
149636.5528535843	3.965774852425069E28
224454.82928037643	2.9737573192608917E28
336682.24392056465	1.247573959207196E27
505023.365880847	2.4806658218385826E28
757535.0488212705	3.46681925281215E28
1136302.5732319057	9.94002304881152E27
1704453.8598478585	2.4777773651546607E28
2556680.789771788	6.067110064463464E27
3835021.1846576817	7.935650692784308E28
5752531.776986523	2.4778445592502007E29
8628797.665479783	1.4370007979357363E29
1.2943196498219674E7	7.0514558816822945E28
1.941479474732951E7	5.407653293917679E29
2.9122192120994266E7	1.7433349051364507E30
