Time-step	Difference in E
30.0	5.755518849122606E27
45.0	8.646771568911738E27
67.5	1.3000758122155906E28
101.25	1.9572854822225252E28
151.875	2.9547236237832113E28
227.8125	4.492956708279542E28
341.71875	6.940268686927579E28
512.578125	1.025338050606851E29
768.8671875	1.5740010102431482E29
1153.30078125	2.3703673053047307E29
1729.951171875	3.8339849112002916E29
2594.9267578125	7.057701143743378E29
3892.39013671875	9.669407134618303E29
5838.585205078125	1.7970098200168E30
8757.877807617188	2.8504101314935507E30
13136.816711425781	5.097868528200073E30
19705.225067138672	2.4995192943207573E31
29557.837600708008	1.9705897050603492E31
44336.75640106201	6.89171703269567E31
66505.13460159302	1.5584033448342772E32
99757.70190238953	3.350995202789427E32
149636.5528535843	7.99461946729114E33
224454.82928037643	1.3959820628288914E33
336682.24392056465	3.041627797597325E33
505023.365880847	8.640820606302053E33
757535.0488212705	1.5377811568870316E34
1136302.5732319057	3.4618046161211108E34
1704453.8598478585	7.76638003991263E34
2556680.789771788	1.731629145348572E35
3835021.1846576817	3.9108962190437436E35
5752531.776986523	8.840801701614669E35
8628797.665479783	1.9922336779239126E36
1.2943196498219674E7	4.4751838253817915E36
1.941479474732951E7	1.0056246714942997E37
2.9122192120994266E7	2.261265667388673E37
