Time-step	Difference in L
500.0	1.099460908917082E30
750.0	1.0650531824574068E30
1125.0	8.504470723726918E28
1687.5	2.1945629837394313E28
2531.25	2.971337181427312E29
3796.875	5.945859936038122E28
5695.3125	2.328245394098013E29
8542.96875	1.8330571159372637E29
12814.453125	1.6351531927046538E29
19221.6796875	1.1890793577071846E29
28832.51953125	2.513747221806062E28
43248.779296875	1.0304110988740925E28
64873.1689453125	5.450671571831113E28
97309.75341796875	4.471270219956651E28
145964.63012695312	1.015186313556438E28
218946.9451904297	9.960853890471937E27
328420.41778564453	4.953814904723061E28
492630.6266784668	2.9728915833999276E28
738945.9400177002	5.632712201461131E26
1108418.9100265503	9.948225227529612E27
1662628.3650398254	1.4858554284777127E28
2493942.547559738	1.5017200036476373E28
3740913.8213396072	6.449018046986141E28
5611370.732009411	8.420100511996771E28
8417056.098014116	8.92856542994502E28
1.2625584147021174E7	4.75680479948962E28
1.893837622053176E7	8.265136096040531E29
2.8407564330797642E7	1.398723519353381E30
