Time-step	Difference in E
3600.0	1.0416027140870709E30
5400.0	1.4647744834520083E30
8100.0	2.3635427729178996E30
12150.0	4.841148392432478E30
18225.0	1.922989021972168E31
27337.5	3.418050758814124E31
41006.25	5.736903322590566E31
61509.375	1.2034680672682797E32
92264.0625	2.7299165006895166E32
138396.09375	6.319258216060807E32
207594.140625	1.1905274559754651E33
311391.2109375	2.6457302726240676E33
467086.81640625	5.830836489256898E33
700630.224609375	1.2919248530528795E34
1050945.3369140625	2.924676301516021E34
1576418.0053710938	6.599023847674347E34
2364627.0080566406	1.4822842737486909E35
3546940.512084961	3.350762319628163E35
5320410.768127441	7.54521765343309E35
7980616.152191162	1.704394458943664E36
1.1970924228286743E7	3.8292309592150413E36
1.7956386342430115E7	8.604055975181599E36
2.6934579513645172E7	1.9344556895099213E37
